ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_500_0.7_1_Run1,1201.41,0.0,0,2,7631.854118403535,23738.739338961514,979,146,27258,10648,13300,0,2,500,0,12.378,5.304,1195,0,0
Gen_Data_500_0.7_2_Run1,1201.11,0.0,0,6,11544.696519688983,24067.38633608229,1193,123,27767,11069,13563,0,6,500,0,13.338,4.988,1464,0,0
Gen_Data_500_0.7_3_Run1,1201.71,0.0,0,2,7338.859889632884,23522.642476728102,1000,48,27044,10347,11825,0,2,500,0,10.198,2.956,1711,0,0
Gen_Data_500_0.7_4_Run1,1201.39,0.0,0,4,9277.646581609391,23691.945016747606,1138,42,27355,10547,12088,0,4,500,0,9.352,3.082,1573,0,0
Gen_Data_500_0.7_5_Run1,1201.48,0.0,0,0,5269.001943005005,24143.422529876912,978,104,27650,10404,11558,0,0,500,0,9.133,2.308,1640,0,0
Gen_Data_500_0.7_6_Run1,1201.56,0.0,0,0,5411.77995049934,23661.000165952508,816,113,27011,10670,12297,0,0,500,0,11.138,3.254,1004,0,0
Gen_Data_500_0.7_7_Run1,1201.18,0.0,0,1,6472.622503999644,23577.421023642422,1008,165,27103,10916,12937,0,1,500,0,11.013,4.042,1674,0,0
Gen_Data_500_0.7_8_Run1,1201.78,0.0,0,3,8549.267080669553,24195.40242016444,949,135,27662,11168,13841,0,3,500,0,13.022,5.346,1349,0,0
Gen_Data_500_0.7_9_Run1,1201.62,0.0,0,4,9483.671364171405,23315.567516168594,1259,203,27098,10575,12707,0,4,500,0,12.312,4.264,1500,0,0
Gen_Data_500_0.7_10_Run1,1201.92,0.0,0,3,8314.385754676805,23492.856574486934,978,50,27000,10727,12169,0,3,500,0,10.208,2.884,1487,0,0
