ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run3,1201.94,0.0,0,2,7554.279233285859,24272.98650494487,750,81,27553,10632,12881,0,2,500,0,12.2
Gen_Data_500_0.7_2_Run3,1201.28,0.0,0,3,8419.326763301533,24555.74848440724,1212,78,28285,11181,13153,0,3,500,0,11.436
Gen_Data_500_0.7_3_Run3,1202.02,0.0,0,1,6626.237238946878,23326.066294974822,1331,159,27198,10374,12871,0,1,500,0,12.842
Gen_Data_500_0.7_4_Run3,1202.51,0.0,0,2,7298.662919408981,24118.418416309094,867,81,27511,10617,12086,0,2,500,0,8.95
Gen_Data_500_0.7_5_Run3,1203.27,0.0,0,0,5266.59583548374,23501.62095388425,1178,66,27213,10404,11507,0,0,500,0,7.795
Gen_Data_500_0.7_6_Run3,1201.99,0.0,0,0,5461.904541490068,24741.388879006397,636,66,27903,10670,12638,0,0,500,0,10.993
Gen_Data_500_0.7_7_Run3,1202.13,0.0,0,0,5560.005590079356,23672.243681573455,830,37,27024,10954,13062,0,0,500,0,11.836
Gen_Data_500_0.7_8_Run3,1202.2,0.0,0,5,10458.311305680574,23977.870054963012,809,190,27290,11116,13410,0,5,500,0,12.441
Gen_Data_500_0.7_9_Run3,1201.6,0.0,0,5,10526.988917197836,24029.229151148786,1046,74,27589,10611,12952,0,5,500,0,13.046
Gen_Data_500_0.7_10_Run3,1201.54,0.0,0,2,7480.649183027359,23289.6575700971,1013,109,26844,10790,12922,0,2,500,0,12.69
