ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_500_0.7_1_Run5,4020.5,7.78,14,59,63528.51265641001,19151.018120720462,10974,8,32400,9218,9592,0,0,500,59,2.923,0.748,4233,500,6645
Gen_Data_500_0.7_2_Run5,4067.08,7.88,15,59,63624.64065365268,19331.66533429191,10828,0,32400,10011,10710,0,0,500,59,6.299,1.398,3723,500,6937
Gen_Data_500_0.7_3_Run5,3956.53,7.66,20,55,59577.549233030746,19012.068471600225,11098,11,32400,9224,9737,0,0,500,55,3.122,1.026,4230,495,6871
Gen_Data_500_0.7_4_Run5,3938.84,7.66,13,51,55646.31681967158,18974.104836824972,11116,0,32397,9288,9754,0,0,500,51,3.585,0.932,4329,500,6118
Gen_Data_500_0.7_5_Run5,4130.48,8.01,17,56,60587.634220117136,19340.171453405168,10772,20,32400,9234,9648,0,0,500,56,3.798,0.828,4142,500,6717
Gen_Data_500_0.7_6_Run5,4048.17,7.85,19,57,61584.78191172736,19372.016889983806,10753,12,32400,9228,9701,0,0,500,57,4.146,0.946,4503,495,6804
Gen_Data_500_0.7_7_Run5,4062.51,7.86,15,61,65477.64122524568,19037.329094114273,11112,11,32400,9468,9737,0,0,500,61,2.295,0.538,4096,497,6663
Gen_Data_500_0.7_8_Run5,4005.23,7.77,18,58,62599.1428492426,19659.909536232586,10480,51,32400,9814,10311,0,0,500,58,2.941,0.994,3803,500,6811
Gen_Data_500_0.7_9_Run5,4100.54,7.92,15,69,73461.0916127167,18968.890063606526,11229,8,32400,9106,9554,0,0,500,69,3.153,0.896,4454,500,6759
Gen_Data_500_0.7_10_Run5,3993.59,7.76,20,50,54810.72546039318,19747.80378855062,10332,6,32399,9740,10656,0,0,500,50,6.242,1.832,4046,500,7441
