BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,3371.3360000000002,6.742,20.8,56.8,61355.519887294075,23109.59912621869,4921.0,0.0,30341.6,9279.8,9714.2,0.0,0.0,500.0,56.8,3.4696
Gen_Data_500_0.7_2,3395.138,6.790000000000001,16.4,65.2,69765.18857718105,24251.539485564143,4259.8,0.8,30769.6,9755.6,10433.2,0.0,0.0,500.0,65.2,5.3073999999999995
Gen_Data_500_0.7_3,3199.934,6.4,20.0,48.8,53509.140710575666,23161.73505120052,5530.2,0.0,31043.2,9310.2,9946.6,0.0,0.0,500.0,48.8,4.1808
Gen_Data_500_0.7_4,3261.418,6.524000000000001,14.4,52.4,56979.87954304922,23399.708309443577,5132.4,0.0,30869.4,9296.2,9639.2,0.0,0.0,500.0,52.4,2.8954
Gen_Data_500_0.7_5,3298.1700000000005,6.596000000000001,18.0,44.4,49054.00370145095,23180.80992742225,5212.2,0.0,30761.8,9394.8,9733.2,0.0,0.0,500.0,44.4,2.5300000000000002
Gen_Data_500_0.7_6,3585.764,7.168000000000001,20.8,55.0,59627.062948388455,22862.774605321963,5360.4,1.8,30543.6,9300.0,9820.4,0.0,0.0,500.0,55.0,3.8112000000000004
Gen_Data_500_0.7_7,3617.25,7.234,21.8,64.4,68933.44629355453,23432.256590907906,5221.2,0.4,30930.0,9312.4,9884.2,0.0,0.0,500.0,64.4,3.8652
Gen_Data_500_0.7_8,3586.8,7.174000000000001,15.6,65.6,70098.54015089727,23396.83566560042,4979.8,0.0,30638.0,9599.0,10136.6,0.0,0.0,500.0,65.6,3.4757999999999996
Gen_Data_500_0.7_9,3629.0920000000006,7.256,17.8,67.0,71520.4319766443,23115.616551724383,5380.0,0.2,30750.6,9124.4,9756.2,0.0,0.0,500.0,67.0,4.0444
Gen_Data_500_0.7_10,3452.404,6.904000000000001,25.2,52.6,57224.09439515738,23468.39116099121,5095.8,1.6,30896.6,9691.8,10221.4,0.0,0.0,500.0,52.6,3.7876000000000003
