BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_500_0.7_1,4114.92,7.918000000000001,15.2,59.0,63548.72320189413,19323.119557412712,10803.0,14.2,32399.4,9094.2,9505.2,0.0,0.0,500.0,59.0,2.9168000000000003,0.8219999999999998,4271.2,499.6,6799.6
Gen_Data_500_0.7_2,4232.892,8.134,17.0,67.2,71703.57508139103,19513.847168515105,10680.6,13.2,32400.0,9766.2,10369.6,0.0,0.0,500.0,67.2,4.614199999999999,1.2067999999999999,3919.6,500.0,7015.8
Gen_Data_500_0.7_3,3975.138,7.659999999999999,17.0,52.6,57240.15239879872,19305.938590454978,10797.4,13.8,32400.0,9247.8,9792.6,0.0,0.0,500.0,52.6,3.9588,1.0896000000000001,4338.4,495.0,6954.2
Gen_Data_500_0.7_4,3970.196000000001,7.688,14.0,51.8,56398.92707681635,19417.18178950443,10681.2,15.4,32398.8,9440.4,9810.0,0.0,0.0,500.0,51.8,2.8850000000000002,0.7392000000000001,4366.6,500.0,6275.2
Gen_Data_500_0.7_5,4164.9259999999995,8.046,16.2,54.6,59175.30304834082,19287.29188784317,10828.2,20.6,32400.0,9156.0,9530.2,0.0,0.0,500.0,54.6,2.7904,0.7484,4068.4,500.0,6516.2
Gen_Data_500_0.7_6,4092.9,7.898000000000001,16.8,56.0,60623.62484853323,19175.639574817083,10944.0,26.4,32400.0,9250.6,9802.0,0.0,0.0,500.0,56.0,4.3908000000000005,1.1027999999999998,4160.8,495.0,6790.2
Gen_Data_500_0.7_7,4028.2100000000005,7.7620000000000005,14.4,55.0,59544.56249793179,18908.85765910283,11213.6,15.6,32400.0,9521.2,9838.4,0.0,0.0,500.0,55.0,2.4912,0.6344,3944.2,497.4,6570.0
Gen_Data_500_0.7_8,4109.701999999999,7.914,15.4,58.6,63164.79725168443,19849.757318359407,10294.4,34.0,32400.0,9843.2,10268.6,0.0,0.0,500.0,58.6,2.9732,0.8508000000000001,3985.6,500.0,6857.2
Gen_Data_500_0.7_9,4177.364,8.014,13.2,69.0,73474.86745133079,18960.801712463795,11232.8,15.4,32400.0,9031.8,9504.4,0.0,0.0,500.0,69.0,3.2584000000000004,0.9452,4466.0,500.0,6754.2
Gen_Data_500_0.7_10,4169.218,8.056,21.6,54.8,59474.17446219793,19499.004007700052,10610.4,3.8,32399.4,9501.4,10131.2,0.0,0.0,500.0,54.8,4.5102,1.2596,4021.8,500.0,7176.4
