Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Instance 1,236.0,638.0,402.0,170.34,167.0,-69.0,-29.24
Instance 2,180.0,751.0,571.0,317.22,172.0,-8.0,-4.44
Instance 3,318.0,672.0,354.0,111.32,188.0,-130.0,-40.88
Instance 4,93.0,652.0,559.0,601.08,122.0,29.0,31.18
Instance 5,307.0,671.0,364.0,118.57,248.0,-59.0,-19.22
Instance 6,350.0,676.0,326.0,93.14,169.0,-181.0,-51.71
Instance 7,121.0,713.0,592.0,489.26,155.0,34.0,28.1
Instance 8,141.0,768.0,627.0,444.68,166.0,25.0,17.73
Instance 9,172.0,686.0,514.0,298.84,171.0,-1.0,-0.58
Instance 10,165.0,670.0,505.0,306.06,170.0,5.0,3.03
Average,208.3,689.7,481.4,295.05,172.8,-35.5,-6.6
