ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.7_1_Run1,392.62,3.77,3,15,15868.636363636364,8972.821384439507,2376,0,7200,896,937,0,0,100,15,1.625,0.41,2785,87,1712
Gen_Data_100_0.7_2_Run1,356.25,3.41,3,13,13909.708333333334,9216.417155086268,2261,0,7200,1022,1073,0,0,100,13,2.583,0.51,2714,85,1484
Gen_Data_100_0.7_3_Run1,401.19,3.85,0,16,16840.0,8995.930128918486,2380,0,7200,797,797,0,0,100,16,0.0,0.0,3005,89,1483
Gen_Data_100_0.7_4_Run1,400.15,3.84,3,15,15877.191919191919,8882.352292735426,2429,0,7200,779,828,0,0,100,15,2.173,0.49,2811,90,1198
Gen_Data_100_0.7_5_Run1,376.07,3.6,4,14,14889.570707070707,8984.122746763056,2379,18,7200,945,984,0,0,100,14,0.714,0.39,2819,86,1258
Gen_Data_100_0.7_6_Run1,419.39,4.02,3,16,16885.040316941122,8692.158769348342,2524,0,7198,935,1033,0,0,100,16,5.506,0.98,2685,85,1352
Gen_Data_100_0.7_7_Run1,429.6,4.11,1,17,17830.0,8763.469659455826,2496,0,7200,768,768,0,0,100,17,0.0,0.0,2808,92,1485
Gen_Data_100_0.7_8_Run1,431.89,4.14,6,17,17859.528985507248,8818.268952248003,2474,0,7200,891,939,0,0,100,17,1.75,0.48,2663,88,1446
Gen_Data_100_0.7_9_Run1,351.3,3.33,0,13,13876.0,8861.440806756551,2433,3,7200,900,915,0,0,100,13,0.625,0.15,2775,84,1167
Gen_Data_100_0.7_10_Run1,387.05,3.7,2,15,15888.333333333334,9053.638423736427,2341,0,7200,989,1073,0,0,100,15,1.667,0.84,2682,81,1318
