BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_100_0.7_1,392.62,3.77,3.0,15.0,15868.636363636364,8972.821384439507,2376.0,0.0,7200.0,896.0,937.0,0.0,0.0,100.0,15.0,1.625,0.41,2785.0,87.0,1712.0
Gen_Data_100_0.7_2,356.25,3.41,3.0,13.0,13909.708333333334,9216.417155086268,2261.0,0.0,7200.0,1022.0,1073.0,0.0,0.0,100.0,13.0,2.583,0.51,2714.0,85.0,1484.0
Gen_Data_100_0.7_3,401.19,3.85,0.0,16.0,16840.0,8995.930128918486,2380.0,0.0,7200.0,797.0,797.0,0.0,0.0,100.0,16.0,0.0,0.0,3005.0,89.0,1483.0
Gen_Data_100_0.7_4,400.15,3.84,3.0,15.0,15877.191919191919,8882.352292735426,2429.0,0.0,7200.0,779.0,828.0,0.0,0.0,100.0,15.0,2.173,0.49,2811.0,90.0,1198.0
Gen_Data_100_0.7_5,376.07,3.6,4.0,14.0,14889.570707070707,8984.122746763056,2379.0,18.0,7200.0,945.0,984.0,0.0,0.0,100.0,14.0,0.714,0.39,2819.0,86.0,1258.0
Gen_Data_100_0.7_6,419.39,4.02,3.0,16.0,16885.040316941122,8692.158769348342,2524.0,0.0,7198.0,935.0,1033.0,0.0,0.0,100.0,16.0,5.506,0.98,2685.0,85.0,1352.0
Gen_Data_100_0.7_7,429.6,4.11,1.0,17.0,17830.0,8763.469659455826,2496.0,0.0,7200.0,768.0,768.0,0.0,0.0,100.0,17.0,0.0,0.0,2808.0,92.0,1485.0
Gen_Data_100_0.7_8,431.89,4.14,6.0,17.0,17859.528985507248,8818.268952248003,2474.0,0.0,7200.0,891.0,939.0,0.0,0.0,100.0,17.0,1.75,0.48,2663.0,88.0,1446.0
Gen_Data_100_0.7_9,351.3,3.33,0.0,13.0,13876.0,8861.440806756551,2433.0,3.0,7200.0,900.0,915.0,0.0,0.0,100.0,13.0,0.625,0.15,2775.0,84.0,1167.0
Gen_Data_100_0.7_10,387.05,3.7,2.0,15.0,15888.333333333334,9053.638423736427,2341.0,0.0,7200.0,989.0,1073.0,0.0,0.0,100.0,15.0,1.667,0.84,2682.0,81.0,1318.0
