BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_300_0.7_1,1331.92,4.34,10.0,11.0,13941.498148148148,17994.323926657962,10013.0,0.0,20160.0,2904.0,2986.0,0.0,0.0,300.0,11.0,1.587,0.2733333333333333,4180.0,300.0,3785.0
Gen_Data_300_0.7_2,1247.5,4.07,1.0,11.0,13925.990513833993,17437.544004828476,10296.0,0.0,20156.0,3109.0,3191.0,0.0,0.0,300.0,11.0,1.266,0.2733333333333333,3981.0,300.0,3512.0
Gen_Data_300_0.7_3,1402.4,4.55,2.0,20.0,22806.503496503497,17917.795595591757,10086.0,0.0,20160.0,2915.0,2931.0,0.0,0.0,300.0,20.0,0.58,0.05333333333333334,4428.0,296.0,3425.0
Gen_Data_300_0.7_4,1421.49,4.58,4.0,24.0,26794.510964912282,18767.958377817256,9669.0,0.0,20160.0,3266.0,3350.0,0.0,0.0,300.0,24.0,1.388,0.28,4630.0,300.0,4163.0
Gen_Data_300_0.7_5,1454.95,4.7,8.0,24.0,26792.40740740741,17954.467308562824,10068.0,0.0,20160.0,2819.0,2868.0,0.0,0.0,300.0,24.0,0.709,0.16333333333333333,4464.0,300.0,3972.0
Gen_Data_300_0.7_6,1305.97,4.25,4.0,16.0,18871.592935321383,17449.94982619043,10303.0,0.0,20160.0,2871.0,2946.0,0.0,0.0,300.0,16.0,1.207,0.25,4037.0,300.0,3500.0
Gen_Data_300_0.7_7,1421.07,4.61,6.0,19.0,21866.531824698795,17771.667713554463,10160.0,0.0,20160.0,2774.0,2886.0,0.0,0.0,300.0,19.0,1.378,0.37333333333333335,4431.0,300.0,3904.0
Gen_Data_300_0.7_8,1383.29,4.45,4.0,23.0,25809.40794499618,17759.120938889042,10174.0,0.0,20160.0,2747.0,2815.0,0.0,0.0,300.0,23.0,0.9,0.22666666666666666,4565.0,300.0,3759.0
Gen_Data_300_0.7_9,1360.36,4.43,2.0,17.0,19837.620320855614,17904.23636555582,10073.0,0.0,20160.0,2962.0,2977.0,0.0,0.0,300.0,17.0,0.595,0.05,4344.0,300.0,3463.0
Gen_Data_300_0.7_10,1449.7,4.7,3.0,22.0,24791.071428571428,17210.804074236326,10431.0,0.0,20160.0,2818.0,2845.0,0.0,0.0,300.0,22.0,0.595,0.09,4432.0,300.0,3225.0
