ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_100_0.7_1_Run2,918.43,9.18,0,42,42619.3717948718,3848.540287535792,1976,0,6147,1417,1515,0,0,100,42,3.246,0.98,878,94,2499
Gen_Data_100_0.7_2_Run2,847.87,8.48,2,38,38620.0,3802.5157693137644,2281,0,6431,1366,1366,0,0,100,38,0.0,0.0,1294,97,2517
Gen_Data_100_0.7_3_Run2,901.31,9.01,0,41,41597.82608695652,3590.0215352103082,2149,0,6067,1266,1284,0,0,100,41,0.877,0.18,1123,97,2407
Gen_Data_100_0.7_4_Run2,710.58,7.11,0,31,31724.966539758996,4097.66346971388,1950,0,6429,1492,1601,0,0,100,31,5.313,1.09,1254,99,2587
Gen_Data_100_0.7_5_Run2,774.94,7.75,2,34,34680.447957839264,3507.971040801167,2374,0,6251,1205,1243,0,0,100,34,1.93,0.38,1228,98,2200
Gen_Data_100_0.7_6_Run2,931.54,9.31,2,43,43596.64419705076,3722.9248674453734,2461,0,6497,1273,1363,0,0,100,43,3.947,0.9,1041,96,2404
Gen_Data_100_0.7_7_Run2,683.93,6.84,3,29,29739.553571428572,3705.510669060899,1981,0,6079,1277,1348,0,0,100,29,3.383,0.71,1279,95,2238
Gen_Data_100_0.7_8_Run2,753.86,7.54,2,33,33695.67076744384,3942.0852130246844,2083,0,6393,1401,1535,0,0,100,33,4.912,1.34,1245,97,2325
Gen_Data_100_0.7_9_Run2,863.87,8.64,1,39,39615.76271186441,3382.517153527311,2559,0,6288,1097,1131,0,0,100,39,1.316,0.34,1237,89,2047
Gen_Data_100_0.7_10_Run2,843.32,8.43,1,38,38620.0,3654.0169700490032,2472,0,6467,1278,1278,0,0,100,38,0.0,0.0,1188,98,2175
