BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_100_0.7_1,1009.606,10.096,2.0,48.0,48576.742037880984,3662.906826494151,1252.0,0.0,5194.0,1220.0,1338.0,0.0,0.0,100.0,48.0,4.123,1.18,1248.0,86.0,2761.0
Gen_Data_100_0.7_2,850.4739999999999,8.504,2.0,39.0,39610.0,3809.119656638936,2027.6,0.0,6165.6,1328.0,1328.0,0.0,0.0,100.0,39.0,0.0,0.0,1703.0,91.0,2646.6
Gen_Data_100_0.7_3,871.7800000000001,8.716,0.0,40.0,40604.912280701756,3678.244088753727,2073.0,0.0,6077.0,1201.0,1229.0,0.0,0.0,100.0,40.0,1.053,0.28,1803.0,83.0,2203.0
Gen_Data_100_0.7_4,858.006,8.58,1.0,39.4,40016.88980284632,3716.486892819732,1950.0,0.0,5988.8,1282.8,1332.8,0.0,0.0,100.0,39.4,3.684,0.5,1725.8,87.0,2275.4
Gen_Data_100_0.7_5,963.9419999999998,9.638,2.4,45.0,45556.3951048951,3467.9878439510962,1669.2,0.0,5433.2,1128.0,1143.8,0.0,0.0,100.0,45.0,1.1582,0.158,1445.4,82.6,2397.6
Gen_Data_100_0.7_6,904.1220000000001,9.042,0.0,42.0,42639.40241564441,3906.9872973185857,1486.0,0.0,5707.0,1376.0,1537.0,0.0,0.0,100.0,42.0,5.877,1.61,1532.0,90.0,2830.0
Gen_Data_100_0.7_7,737.9739999999999,7.378,4.0,33.0,33746.52137445888,3437.1804793925126,1779.0,0.0,5572.0,1198.0,1394.0,0.0,0.0,100.0,33.0,7.068,1.9600000000000002,1356.0,92.0,2529.0
Gen_Data_100_0.7_8,867.198,8.67,0.0,40.0,40612.69042627533,3688.8997429256183,1533.0,0.0,5544.0,1264.0,1332.0,0.0,0.0,100.0,40.0,2.506,0.68,1463.0,92.0,2588.0
Gen_Data_100_0.7_9,941.6119999999999,9.416,1.0,44.0,44560.0,3597.048665743998,1787.0,0.0,5688.0,1059.0,1059.0,0.0,0.0,100.0,44.0,0.0,0.0,1643.0,93.0,2475.0
Gen_Data_100_0.7_10,941.9559999999999,9.419999999999998,0.0,44.0,44560.0,3319.754593305498,2024.0,0.0,5642.0,1023.0,1023.0,0.0,0.0,100.0,44.0,0.0,0.0,1551.0,95.0,2579.0
