BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_100_0.7_1,1170.028,11.695999999999998,1.0,56.0,56483.464726956605,4339.75986656602,1617.0,0.0,6219.0,989.0,1087.0,0.0,0.0,100.0,56.0,3.07,0.9800000000000001,2250.0,67.0,2077.0
Gen_Data_100_0.7_2,1030.3579999999997,10.3,0.0,48.4,48935.74358974359,4304.845542729827,1871.4,0.0,6488.0,1009.2,1094.2,0.0,0.0,100.0,48.4,2.807,0.85,2275.0,87.0,2671.6
Gen_Data_100_0.7_3,948.0799999999999,9.478,5.0,44.0,44560.0,4525.6227280777675,1504.4,0.0,6346.0,1179.0,1179.0,0.0,0.0,100.0,44.0,0.0,0.0,2371.4,68.0,2059.2
Gen_Data_100_0.7_4,1068.52,10.681999999999999,1.8,50.6,51120.87717976597,4472.352307712803,1736.4,0.0,6499.2,985.8,1079.0,0.0,0.0,100.0,50.6,5.4914,0.932,2509.8,71.2,2285.8
Gen_Data_100_0.7_5,1121.36,11.212,0.0,53.2,53686.5,4572.08207111815,1655.4,0.0,6508.0,952.2,989.2,0.0,0.0,100.0,53.2,1.316,0.37,2492.8,76.2,2722.6
Gen_Data_100_0.7_6,1121.14,11.209999999999999,1.0,53.2,53679.87720093442,4669.102630943536,1570.0,0.0,6518.0,1133.8,1189.8,0.0,0.0,100.0,53.2,3.2455999999999996,0.5599999999999999,2362.0,73.4,2479.2
Gen_Data_100_0.7_7,1077.426,10.772,0.0,51.0,51516.030303030304,4313.060945820341,1777.0,0.0,6379.0,875.0,948.0,0.0,0.0,100.0,51.0,2.068,0.73,2308.0,75.0,2699.0
Gen_Data_100_0.7_8,1024.202,10.24,1.0,48.0,48599.19682366491,4514.4758951554395,1658.4,0.0,6478.0,1141.0,1277.0,0.0,0.0,100.0,48.0,5.029,1.36,2278.6,84.6,2715.2
Gen_Data_100_0.7_9,1062.636,10.624,1.0,50.0,50551.16363352339,4515.791293006303,1674.0,0.0,6484.0,927.0,1071.0,0.0,0.0,100.0,50.0,5.188,1.44,2341.0,61.0,1750.0
Gen_Data_100_0.7_10,1133.982,11.338,0.0,54.0,54460.0,4249.974026138317,1987.6,0.0,6521.0,751.0,751.0,0.0,0.0,100.0,54.0,0.0,0.0,2546.4,83.0,2622.4
