ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_300_0.7_1_Run2,2231.08,7.44,12,83,85442.31227049443,11539.278059392493,2230,0,14902,4753,5589,0,0,300,83,8.824,2.7866666666666666,3139,267,8145
Gen_Data_300_0.7_2_Run2,2555.3,8.52,14,101,103170.68637274679,10985.825354382741,2314,0,14338,4086,4677,0,0,300,101,5.75,1.97,3613,261,7785
Gen_Data_300_0.7_3_Run2,2436.19,8.12,12,95,97129.17720544846,10590.495257120805,2565,0,14217,4398,4733,0,0,300,95,4.785,1.1166666666666667,2782,257,7674
Gen_Data_300_0.7_4_Run2,2365.01,7.88,10,92,94329.82944184798,11621.427741833706,3098,0,15824,4599,5265,0,0,300,92,7.003,2.22,3695,288,7776
Gen_Data_300_0.7_5_Run2,2432.52,8.11,7,91,93256.26364104876,11690.582565944418,2846,0,15623,4556,5002,0,0,300,91,6.767,1.4866666666666666,3493,268,8101
Gen_Data_300_0.7_6_Run2,2416.21,8.05,16,96,98273.66190144046,11225.770789410575,1565,0,13851,4518,5198,0,0,300,96,7.162,2.2666666666666666,2506,256,7527
Gen_Data_300_0.7_7_Run2,2628.08,8.76,10,109,111093.14441204298,10609.407122750314,1960,0,13567,4285,5028,0,0,300,109,7.341,2.4766666666666666,2873,240,5997
Gen_Data_300_0.7_8_Run2,2431.38,8.1,11,90,92295.09801818045,10787.233923846597,2623,0,14497,4655,5301,0,0,300,90,8.579,2.1533333333333333,2690,268,8592
Gen_Data_300_0.7_9_Run2,2321.98,7.74,12,84,86462.09197176991,10989.83046692427,2503,0,14620,4226,5117,0,0,300,84,9.791,2.97,3160,239,7531
Gen_Data_300_0.7_10_Run2,2352.46,7.84,7,90,92260.19733938723,11116.445386070749,2813,0,15034,4827,5390,0,0,300,90,5.863,1.8766666666666667,3041,282,7913
