ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_300_0.7_1_Run4,2280.37,7.6,10,82,84425.73714495865,14898.738626449212,3076,18,19161,4676,5416,0,0,300,82,7.509,2.466666666666667,6403,243,6760
Gen_Data_300_0.7_2_Run4,2595.68,8.65,11,101,103110.33930102293,14371.283028599559,3547,3,19006,4037,4413,0,0,300,101,4.009,1.2533333333333334,6868,260,6624
Gen_Data_300_0.7_3_Run4,2250.82,7.5,6,80,82417.82764008798,14978.5267816858,3334,21,19524,4703,5381,0,0,300,80,6.464,2.26,6688,240,6798
Gen_Data_300_0.7_4_Run4,2295.74,7.65,14,83,85269.61870648139,14617.097818394663,3312,0,19121,4636,4867,0,0,300,83,2.249,0.77,6320,277,7480
Gen_Data_300_0.7_5_Run4,2262.93,7.54,13,80,82312.6896519582,14875.413367099487,3193,42,19266,4800,5148,0,0,300,80,4.128,1.16,6168,245,6995
Gen_Data_300_0.7_6_Run4,2265.53,7.55,12,83,85305.77623229624,14582.413040962152,3223,3,18981,4868,5229,0,0,300,83,5.14,1.2033333333333334,5813,276,7828
Gen_Data_300_0.7_7_Run4,2325.0,7.75,15,85,87343.7989123421,14676.483797550713,3272,10,19125,4830,5353,0,0,300,85,7.453,1.7433333333333334,6346,258,7162
Gen_Data_300_0.7_8_Run4,2313.26,7.71,13,85,87294.19993684645,14329.404683859395,3111,24,18615,4728,5165,0,0,300,85,6.229,1.4566666666666668,6168,283,7740
Gen_Data_300_0.7_9_Run4,2165.57,7.22,14,74,76417.65931405722,14630.85720544291,3497,0,19364,4471,5018,0,0,300,74,6.167,1.8233333333333333,6533,266,7472
Gen_Data_300_0.7_10_Run4,2448.44,8.16,12,92,94279.48414986838,14296.451944058912,3488,64,18932,4610,5111,0,0,300,92,6.215,1.67,5988,277,8162
