BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean,TotalEmptyRelocationTime_mean,TotalNumberOfRequestsOverlapIdleVehicle_mean,TotalDriveTimeToNearestIdleVehicle_mean
Gen_Data_300_0.7_1,1824.252,6.078,10.2,55.2,57801.142370031484,12839.291123606814,4327.6,0.0,18472.0,5360.0,5805.2,0.0,0.0,300.0,55.2,5.262,1.484,3252.2,293.4,6073.6
Gen_Data_300_0.7_2,1904.244,6.348000000000001,11.0,60.6,63056.89800283349,13108.89159499526,4208.0,14.0,18596.0,5064.0,5266.0,0.0,0.0,300.0,60.6,3.2025999999999994,0.6733333333333333,3925.8,298.6,5689.4
Gen_Data_300_0.7_3,1722.9119999999998,5.742,10.4,42.4,45097.05779182649,13288.285003067238,4377.6,10.2,19034.6,5640.2,6024.2,0.0,0.0,300.0,42.4,4.4670000000000005,1.28,3465.4,298.2,5298.4
Gen_Data_300_0.7_4,1791.328,5.967999999999999,9.8,55.0,57586.24218925849,13123.094661705949,4364.6,11.0,18820.2,5269.0,5660.2,0.0,0.0,300.0,55.0,3.655,1.3039999999999998,3683.8,297.4,5267.2
Gen_Data_300_0.7_5,1896.8059999999998,6.322,11.0,59.2,61700.45585351887,12820.190568438535,4670.6,6.4,18780.6,5224.4,5506.4,0.0,0.0,300.0,59.2,3.2466,0.9400000000000001,3121.4,296.8,6323.2
Gen_Data_300_0.7_6,1762.8020000000001,5.8740000000000006,7.6,51.2,53846.61710068384,13435.03235892608,4151.8,5.6,18924.2,5662.4,6178.8,0.0,0.0,300.0,51.2,5.2506,1.7213333333333334,3284.2,299.2,5459.6
Gen_Data_300_0.7_7,1844.584,6.148,8.2,57.2,59727.943226238756,13372.313965579737,4036.2,2.2,18718.4,5409.8,5721.6,0.0,0.0,300.0,57.2,4.0786,1.0393333333333334,3518.6,299.2,5181.8
Gen_Data_300_0.7_8,1843.334,6.144,11.6,57.6,60140.694870070845,13115.8930569308,4033.8,4.8,18458.8,5542.0,5879.4,0.0,0.0,300.0,57.6,4.037000000000001,1.1246666666666667,3417.2,295.6,5141.0
Gen_Data_300_0.7_9,1690.97,5.636,9.0,43.2,45885.30380523154,12897.394111728852,4648.0,2.6,18924.8,4973.8,5329.2,0.0,0.0,300.0,43.2,4.2408,1.1846666666666665,3527.6,298.6,5249.0
Gen_Data_300_0.7_10,1802.634,6.008,6.6,55.8,58349.70583583122,13404.216911083411,4397.0,13.6,19112.6,5570.4,5919.0,0.0,0.0,300.0,55.8,4.086,1.162,3371.4,299.0,5213.0
