BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_100_0.7_1,1200.8700000000001,0.0,0.0,1.0,1990.545454546129,5144.2489868401935,245.66666666666666,0.0,5891.666666666667,2178.0,2154.3333333333335,60.0,1.0,40.0,0.0,0.3086666666666667
Gen_Data_100_0.7_2,336.99666666666667,0.0,0.0,0.0,1016.5352667721869,5031.41894086229,87.0,0.0,5626.0,2014.0,2087.0,60.0,0.0,40.0,0.0,3.704
Gen_Data_100_0.7_3,1200.9366666666667,0.0,0.0,1.0,1991.8633139907736,5146.6042975717655,39.333333333333336,0.0,5686.666666666667,2142.0,2133.3333333333335,60.0,1.0,40.0,0.0,0.6943333333333334
Gen_Data_100_0.7_4,1200.8366666666668,0.0,0.0,1.0,2017.8311865596916,4919.836585740338,47.666666666666664,0.3333333333333333,5470.666666666667,2017.0,2116.6666666666665,60.0,1.0,40.0,0.0,3.8076666666666665
Gen_Data_100_0.7_5,454.44000000000005,0.0,0.0,0.0,1018.6342427966532,5246.773344190801,82.66666666666667,0.0,5836.333333333333,2234.0,2299.3333333333335,60.0,0.0,40.0,0.0,2.4603333333333333
Gen_Data_100_0.7_6,1200.6466666666665,0.0,0.0,1.0,2010.5690380573906,4984.314868019486,52.333333333333336,0.0,5538.666666666667,2242.0,2321.3333333333335,60.0,1.0,40.0,0.0,6.478666666666666
Gen_Data_100_0.7_7,1200.6633333333334,0.0,0.0,2.0,2999.124090498661,5014.715376286305,25.666666666666668,0.0,5536.666666666667,2242.0,2235.6666666666665,60.0,2.0,40.0,0.0,6.216333333333334
Gen_Data_100_0.7_8,576.4900000000001,0.0,0.0,0.0,1001.7647058823841,4744.152877482699,137.66666666666666,0.0,5387.333333333333,1903.0,1915.0,60.0,0.0,40.0,0.0,0.694
Gen_Data_100_0.7_9,827.0566666666667,0.0,0.0,0.3333333333333333,1391.9713033969274,5128.096537103029,95.0,0.0,5733.666666666667,2360.0,2643.0,60.0,0.3333333333333333,40.0,0.0,8.432
Gen_Data_100_0.7_10,455.40000000000003,0.0,0.0,0.0,1000.0000000000182,5055.567174803201,109.0,0.0,5674.666666666667,1887.0,1887.0,60.0,0.0,40.0,0.0,0.0
