BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_20_0.7_1,6.243333333333333,0.7799999999999999,2.0,0.0,205.2232142857143,1782.7405081334484,318.0,0.0,2208.0,538.0,568.0,12.0,0.0,8.0,0.0,3.571
Gen_Data_20_0.7_2,44.94,5.62,0.0,2.0,2180.0,1481.6424652189644,651.0,0.0,2234.0,358.0,358.0,12.0,0.0,8.0,2.0,0.0
Gen_Data_20_0.7_3,6.093333333333333,0.7633333333333333,0.0,2.0,2180.0,1291.073660950495,487.0,0.0,1878.0,290.0,290.0,12.0,2.0,8.0,0.0,0.0
Gen_Data_20_0.7_4,44.00666666666666,5.5,0.0,2.0,2187.0175438596493,1564.1673645590145,640.0,8.0,2307.6666666666665,415.0,455.0,12.0,0.0,8.0,2.0,2.8570000000000007
Gen_Data_20_0.7_5,25.94333333333333,3.2433333333333336,0.0,1.0,1190.0,1588.0180233472174,323.0,0.0,2015.6666666666667,428.0,428.0,12.0,0.0,8.0,1.0,0.0
Gen_Data_20_0.7_6,5.133333333333334,0.64,0.0,1.0,1190.0,1665.3254940093066,439.0,0.0,2212.0,405.0,405.0,12.0,1.0,8.0,0.0,0.0
Gen_Data_20_0.7_7,45.50333333333333,5.686666666666667,0.0,2.0,2180.0,1512.5207878383342,376.0,0.0,1989.0,208.0,208.0,12.0,0.0,8.0,2.0,0.0
Gen_Data_20_0.7_8,7.260000000000001,0.9066666666666666,0.0,0.0,200.0,1542.9154460396915,401.0,0.0,2051.0,369.0,369.0,12.0,0.0,8.0,0.0,0.0
Gen_Data_20_0.7_9,26.733333333333334,3.3433333333333333,0.0,1.0,1203.125,1340.8389961187668,457.6666666666667,0.0,1903.0,354.0,417.0,12.0,0.0,8.0,1.0,3.571
Gen_Data_20_0.7_10,7.203333333333333,0.9033333333333333,0.0,0.0,211.7669172932331,1542.5815403729864,248.0,0.0,1900.0,362.0,381.0,12.0,0.0,8.0,0.0,2.8570000000000007
