ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run2,2389.36,19.91,16,1,4018.0283145963126,15460.16452360093,1616,8,18581,5780,5903,180,0,120,1,2.55
Gen_Data_300_0.7_2_Run2,2384.04,19.87,13,1,4014.353615971607,15586.388558104954,1645,1,18743,6875,6997,180,0,120,1,2.105
Gen_Data_300_0.7_3_Run2,2393.42,19.95,13,3,6084.40442825424,15488.77983413861,1665,53,18672,6687,7224,180,0,120,3,6.21
Gen_Data_300_0.7_4_Run2,2369.11,19.74,15,0,3036.824064872792,15373.367880947613,2062,2,18965,6297,6475,180,0,120,0,1.712
Gen_Data_300_0.7_5_Run2,2407.51,20.06,16,2,5038.252315564324,15865.730653164006,1249,14,18621,6480,6789,180,0,120,2,2.825
Gen_Data_300_0.7_6_Run2,2401.26,20.01,9,1,4003.927287418615,15100.850719655004,1225,9,17837,6204,6279,180,0,120,1,1.426
Gen_Data_300_0.7_7_Run2,2407.59,20.06,21,0,3079.287841370493,15716.75667431451,1212,6,18457,7008,7410,180,0,120,0,4.943
Gen_Data_300_0.7_8_Run2,2407.0,20.06,14,0,3048.983091517377,15806.224352738382,835,12,18162,7495,7746,180,0,120,0,3.28
Gen_Data_300_0.7_9_Run2,2407.42,20.06,14,0,3051.1008406912165,15657.505546777882,990,1,18182,6723,6956,180,0,120,0,4.483
Gen_Data_300_0.7_10_Run2,2390.95,19.92,23,2,5075.8892936053635,15201.444376100562,1699,35,18415,6496,6910,180,0,120,2,6.385
