ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run3,1200.74,0.0,0,0,2999.9999999999854,15394.514520519479,197,0,17103,5826,5826,180,0,120,0,0.0
Gen_Data_300_0.7_2_Run3,1200.68,0.0,0,0,3008.2374349809616,16373.834836518728,256,0,18154,6920,6974,180,0,120,0,1.267
Gen_Data_300_0.7_3_Run3,1200.94,0.0,0,0,3010.7962941505048,15707.874266532464,184,0,17415,6806,6871,180,0,120,0,1.388
Gen_Data_300_0.7_4_Run3,1200.66,0.0,0,0,3008.8776467431817,15372.348814929592,113,0,17010,6297,6330,180,0,120,0,0.719
Gen_Data_300_0.7_5_Run3,1201.04,0.0,0,0,3003.0528680445786,15389.690823905274,229,0,17131,6503,6518,180,0,120,0,0.536
Gen_Data_300_0.7_6_Run3,1200.69,0.0,0,1,3989.9999999989523,15702.665390253585,282,0,17503,6255,6204,180,1,120,0,0.0
Gen_Data_300_0.7_7_Run3,1200.67,0.0,0,0,3025.029837944414,15748.47928956235,254,0,17534,7008,7130,180,0,120,0,2.246
Gen_Data_300_0.7_8_Run3,1200.87,0.0,0,0,3018.020140701681,15958.623182020492,145,0,17632,7495,7601,180,0,120,0,2.448
Gen_Data_300_0.7_9_Run3,1200.66,0.0,0,0,3006.318731747502,15369.825597441135,176,0,17075,6723,6752,180,0,120,0,0.521
Gen_Data_300_0.7_10_Run3,1200.92,0.0,0,0,3030.2860697652213,15720.359067550597,20,0,17274,6553,6714,180,0,120,0,1.838
