ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run3,2379.95,19.83,9,3,6038.2504069915485,15576.3275610957,2194,0,19287,5707,6010,180,0,120,3,2.76
Gen_Data_300_0.7_2_Run3,2389.37,19.91,15,0,3034.8285147791503,16177.0115117972,1613,10,19333,6920,7070,180,0,120,0,2.477
Gen_Data_300_0.7_3_Run3,2394.85,19.96,8,4,7049.586798431235,15238.604921144884,2521,45,19277,6637,7085,180,0,120,4,4.874
Gen_Data_300_0.7_4_Run3,2373.73,19.78,15,0,3066.9657990903006,15509.208637496415,2363,0,19414,6297,6566,180,0,120,0,2.855
Gen_Data_300_0.7_5_Run3,2407.27,20.06,19,1,4037.6650221095433,16047.697586802053,2001,13,19579,6483,6725,180,0,120,1,3.135
Gen_Data_300_0.7_6_Run3,2408.84,20.07,10,1,4024.588562302867,15534.185818582977,2201,16,19270,6204,6388,180,0,120,1,2.686
Gen_Data_300_0.7_7_Run3,2410.44,20.09,13,7,9983.35114069972,15693.123359965004,1964,5,19165,6832,7076,180,0,120,7,3.528
Gen_Data_300_0.7_8_Run3,2409.69,20.08,14,1,4073.138553907769,15828.354509304248,2055,49,19421,7441,7833,180,0,120,1,4.605
Gen_Data_300_0.7_9_Run3,2407.64,20.06,11,0,3060.228648064778,15671.013588274951,2104,10,19311,6723,7026,180,0,120,0,5.361
Gen_Data_300_0.7_10_Run3,2392.82,19.94,20,6,9046.294429551812,15620.74811401873,1884,13,19025,6365,6859,180,0,120,6,5.517
