BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,2383.1166666666663,19.86,16.333333333333332,0.6666666666666666,3714.4071533936694,15313.216732215782,1771.3333333333333,12.333333333333334,18593.0,5806.333333333333,6045.333333333333,180.0,0.0,120.0,0.6666666666666666,2.9310000000000005
Gen_Data_300_0.7_2,2384.6366666666668,19.873333333333335,12.666666666666666,0.6666666666666666,3709.0590578160736,15651.975995941799,1648.0,4.666666666666667,18819.0,6897.333333333333,7126.0,180.0,0.0,120.0,0.6666666666666666,3.5976666666666666
Gen_Data_300_0.7_3,2393.75,19.95,11.666666666666666,2.3333333333333335,5433.206759308497,15515.722482477797,1546.6666666666667,32.0,18584.333333333332,6720.0,7307.0,180.0,0.0,120.0,2.3333333333333335,6.371333333333333
Gen_Data_300_0.7_4,2369.646666666667,19.746666666666666,12.666666666666666,0.0,3038.7281591665123,15432.772007832138,1869.0,12.333333333333334,18833.0,6297.0,6471.333333333333,180.0,0.0,120.0,0.0,1.9826666666666666
Gen_Data_300_0.7_5,2406.3866666666668,20.05333333333333,16.666666666666668,2.0,5039.37024625783,15732.946286463382,1475.3333333333333,10.333333333333334,18715.0,6481.0,6784.0,180.0,0.0,120.0,2.0,3.3906666666666667
Gen_Data_300_0.7_6,2399.8566666666666,19.996666666666666,9.0,1.0,4008.9501634576095,15330.350215668741,1208.6666666666667,16.0,18050.0,6204.0,6310.0,180.0,0.0,120.0,1.0,1.543
Gen_Data_300_0.7_7,2405.9533333333334,20.049999999999997,21.666666666666668,1.3333333333333333,4438.380562554513,15780.502436208795,1188.3333333333333,38.0,18493.333333333332,6969.333333333333,7572.333333333333,180.0,0.0,120.0,1.3333333333333333,5.8103333333333325
Gen_Data_300_0.7_8,2407.3933333333334,20.063333333333333,13.666666666666666,0.0,3091.435736296951,15570.28015618781,1077.0,30.666666666666668,18175.0,7495.0,7967.0,180.0,0.0,120.0,0.0,4.807333333333333
Gen_Data_300_0.7_9,2407.25,20.06,13.333333333333334,0.0,3047.366375805981,15362.01373944076,1264.6666666666667,5.0,18159.666666666668,6723.0,6965.333333333333,180.0,0.0,120.0,0.0,3.9619999999999997
Gen_Data_300_0.7_10,2392.46,19.936666666666667,20.333333333333332,3.6666666666666665,6709.521913544023,15241.5413991552,1748.3333333333333,14.0,18501.0,6463.666666666667,6854.0,180.0,0.0,120.0,3.6666666666666665,5.3229999999999995
