BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,2381.083333333333,19.843333333333334,13.666666666666666,2.0,5030.635398628334,15512.896668662548,2153.6666666666665,1.3333333333333333,19188.333333333332,5761.0,5984.0,180.0,0.0,120.0,2.0,2.3593333333333333
Gen_Data_300_0.7_2,2389.6566666666668,19.91333333333333,13.0,1.0,4048.3113169933476,15900.49577240998,1935.0,11.666666666666666,19371.666666666668,6899.333333333333,7151.666666666667,180.0,0.0,120.0,1.0,3.433
Gen_Data_300_0.7_3,2394.693333333333,19.956666666666667,9.333333333333334,4.333333333333333,7376.181418592932,15379.308639156212,2379.3333333333335,29.0,19273.333333333332,6636.333333333333,7045.333333333333,180.0,0.0,120.0,4.333333333333333,5.467666666666666
Gen_Data_300_0.7_4,2372.65,19.773333333333337,12.0,0.0,3046.8858145393065,15677.22542942722,2177.3333333333335,4.666666666666667,19401.666666666668,6297.0,6491.333333333333,180.0,0.0,120.0,0.0,2.1986666666666665
Gen_Data_300_0.7_5,2407.02,20.05666666666667,17.333333333333332,2.3333333333333335,5356.783052898383,16045.737679822143,1943.6666666666667,14.0,19509.333333333332,6455.333333333333,6693.666666666667,180.0,0.0,120.0,2.3333333333333335,2.9386666666666663
Gen_Data_300_0.7_6,2402.896666666667,20.023333333333333,10.0,1.0,4026.138022612549,15494.047584933805,2255.3333333333335,13.666666666666666,19282.0,6204.0,6384.666666666667,180.0,0.0,120.0,1.0,2.555
Gen_Data_300_0.7_7,2408.1800000000003,20.070000000000004,15.666666666666666,6.333333333333333,9367.47399405885,15944.00501095457,1823.6666666666667,14.333333333333334,19280.333333333332,6874.666666666667,7349.0,180.0,0.0,120.0,6.333333333333333,5.090333333333333
Gen_Data_300_0.7_8,2408.9033333333336,20.076666666666664,16.333333333333332,1.6666666666666667,4757.9653902969685,15779.966420756797,1933.0,41.0,19251.0,7433.0,7971.0,180.0,0.0,120.0,1.6666666666666667,5.864
Gen_Data_300_0.7_9,2404.8333333333335,20.040000000000003,11.333333333333334,0.0,3044.0039474450664,15539.970954217877,2225.6666666666665,4.0,19308.333333333332,6723.0,6953.0,180.0,0.0,120.0,0.0,4.240333333333333
Gen_Data_300_0.7_10,2392.933333333333,19.94333333333333,17.333333333333332,7.333333333333333,10355.859769378165,15624.041897767114,1955.6666666666667,14.666666666666666,19092.0,6376.333333333333,6798.333333333333,180.0,0.0,120.0,7.333333333333333,5.262333333333333
