Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Scenario 1,0.0,0.0,0.0,0.0,1.67,1.67,Inf
Scenario 2,2.0,2.0,0.0,0.0,2.33,0.33,16.5
Scenario 3,2.0,2.0,0.0,0.0,1.33,-0.67,-33.5
Scenario 4,2.0,2.0,0.0,0.0,2.33,0.33,16.5
Scenario 5,1.0,1.0,0.0,0.0,1.33,0.33,33.0
Scenario 6,1.0,1.0,0.0,0.0,1.67,0.67,67.0
Scenario 7,1.0,2.0,1.0,100.0,1.33,0.33,33.0
Scenario 8,0.0,0.0,0.0,0.0,1.0,1.0,Inf
Scenario 9,1.0,1.0,0.0,0.0,2.33,1.33,133.0
Scenario 10,0.0,0.0,0.0,0.0,0.67,0.67,Inf
Average,1.0,1.1,0.1,10.0,1.6,0.6,37.93
