Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Scenario 1,1.33,5.67,4.34,326.32,2.0,0.67,50.38
Scenario 2,2.67,9.67,7.0,262.17,9.33,6.66,249.44
Scenario 3,4.33,9.33,5.0,115.47,7.67,3.34,77.14
Scenario 4,2.33,5.67,3.34,143.35,3.0,0.67,28.76
Scenario 5,1.0,2.0,1.0,100.0,1.67,0.67,67.0
Scenario 6,8.0,13.0,5.0,62.5,12.33,4.33,54.12
Scenario 7,1.0,2.33,1.33,133.0,2.33,1.33,133.0
Scenario 8,1.33,3.33,2.0,150.38,2.33,1.0,75.19
Scenario 9,3.0,8.33,5.33,177.67,7.0,4.0,133.33
Scenario 10,0.0,1.0,1.0,Inf,1.67,1.67,Inf
Average,2.5,6.03,3.53,163.43,4.93,2.43,96.48
