ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run2,1200.62,0.0,0,13,14030.939921692638,4705.778921812771,357,38,5502,2257,2502,0,13,100,0,14.5
Gen_Data_100_0.7_2_Run2,1201.04,0.0,0,6,7051.954657860525,4836.6794915873415,338,15,5657,2276,2625,0,6,100,0,11.773
Gen_Data_100_0.7_3_Run2,1200.82,0.0,0,7,8052.067396810362,4899.5344202780025,267,30,5638,2158,2244,0,7,100,0,9.332
Gen_Data_100_0.7_4_Run2,1200.8,0.0,0,6,7109.53387933912,4972.114412761306,201,45,5656,2374,2842,0,6,100,0,16.962
Gen_Data_100_0.7_5_Run2,1200.5,0.0,0,5,5990.909074410201,4615.293175623165,413,0,5522,1977,2041,0,5,100,0,8.728
Gen_Data_100_0.7_6_Run2,1200.54,0.0,0,5,6089.508713886975,5039.707728198362,235,67,5766,2275,2815,0,5,100,0,13.657
Gen_Data_100_0.7_7_Run2,1200.61,0.0,0,4,5121.478974458087,4924.010293281859,180,7,5591,1925,2304,0,4,100,0,10.437
Gen_Data_100_0.7_8_Run2,1200.96,0.0,0,3,4040.0028758241187,4771.559683021319,375,19,5643,2140,2359,0,3,100,0,8.86
Gen_Data_100_0.7_9_Run2,1200.75,0.0,0,7,8016.250067754401,5075.942043174017,298,35,5849,2169,2271,0,7,100,0,9.737
Gen_Data_100_0.7_10_Run2,1200.53,0.0,0,9,9984.059297534895,4768.8462139552585,400,22,5636,1940,2108,0,9,100,0,8.208
