ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run3,816.95,8.17,3,38,38686.49809516961,4536.263673930617,1412,0,6279,1478,1667,0,0,100,38,7.018
Gen_Data_100_0.7_2_Run3,727.94,7.28,1,34,34677.2,4591.572926158853,1441,0,6394,1347,1390,0,0,100,34,1.053
Gen_Data_100_0.7_3_Run3,788.56,7.89,0,36,36671.333333333336,4501.812612993463,1536,0,6377,1477,1524,0,0,100,36,0.752
Gen_Data_100_0.7_4_Run3,750.65,7.51,0,34,34692.225640230754,4282.144033654496,1736,12,6375,1463,1584,0,0,100,34,5.138
Gen_Data_100_0.7_5_Run3,745.01,7.45,0,34,34698.15838509317,4549.746185634287,1501,0,6407,1259,1349,0,0,100,34,2.857
Gen_Data_100_0.7_6_Run3,748.49,7.48,0,34,34691.881124558146,4869.886291695714,1316,0,6541,1577,1743,0,0,100,34,5.0
Gen_Data_100_0.7_7_Run3,611.92,6.12,1,28,28769.92344720497,4691.039317570622,1077,0,6153,1265,1372,0,0,100,28,4.269
Gen_Data_100_0.7_8_Run3,670.24,6.7,1,31,31702.69042627533,4692.819512755661,1280,0,6340,1532,1600,0,0,100,31,2.506
Gen_Data_100_0.7_9_Run3,826.23,8.26,1,38,38637.142857142855,4670.888022977894,1299,0,6307,1302,1326,0,0,100,38,1.053
Gen_Data_100_0.7_10_Run3,686.65,6.87,0,32,32694.283913565425,4446.4054203595815,1392,0,6204,1303,1361,0,0,100,32,2.105
