ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_0.7_1_Run3,1201.36,60.07,0,11,11090.0,675.2106986192596,805,0,1529,142,142,0,0,20,11,0.0
Gen_Data_20_0.7_2_Run3,1201.42,60.07,0,11,11090.0,743.1229894167925,642,0,1433,198,198,0,0,20,11,0.0
Gen_Data_20_0.7_3_Run3,1201.69,60.08,0,9,9110.0,863.9185115804514,578,0,1504,261,261,0,0,20,9,0.0
Gen_Data_20_0.7_4_Run3,1201.09,60.05,0,7,7130.0,719.1143439960008,877,0,1667,150,150,0,0,20,7,0.0
Gen_Data_20_0.7_5_Run3,1201.58,60.08,0,8,8120.0,897.1727446295636,557,0,1520,268,268,0,0,20,8,0.0
Gen_Data_20_0.7_6_Run3,1201.18,60.06,0,8,8120.0,886.1230056665584,654,0,1606,296,296,0,0,20,8,0.0
Gen_Data_20_0.7_7_Run3,1201.31,60.07,0,12,12080.0,633.6670086823833,712,0,1391,74,74,0,0,20,12,0.0
Gen_Data_20_0.7_8_Run3,1201.48,60.07,0,10,10100.0,772.4367386251413,707,0,1535,200,200,0,0,20,10,0.0
Gen_Data_20_0.7_9_Run3,1201.34,60.07,0,9,9130.0,755.8448088474227,820,0,1638,160,196,0,0,20,9,5.0
Gen_Data_20_0.7_10_Run3,1201.83,60.09,0,11,11090.0,818.59001287415,487,0,1354,231,231,0,0,20,11,0.0
