ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run3,18006.84,60.02,18,62,64513.53808253145,15843.70957482266,2206,0,19340,5195,5618,0,0,300,62,5.44
Gen_Data_300_0.7_2_Run3,18006.66,60.02,11,73,75403.56227015897,15506.46736191802,2384,0,19113,4807,5236,0,0,300,73,5.051
Gen_Data_300_0.7_3_Run3,18006.84,60.02,10,66,68538.91155375079,15572.44755889714,2535,0,19388,5132,5643,0,0,300,66,6.147
Gen_Data_300_0.7_4_Run3,18007.02,60.02,10,68,70483.84789383838,15406.783836895742,2518,0,19200,4977,5459,0,0,300,68,5.28
Gen_Data_300_0.7_5_Run3,18006.51,60.02,13,68,70523.86848862655,15687.6942007552,2430,2,19370,4880,5433,0,0,300,68,6.567
Gen_Data_300_0.7_6_Run3,18007.14,60.02,22,53,55651.273955303666,15614.570821325407,2213,0,19164,5262,5863,0,0,300,53,6.399
Gen_Data_300_0.7_7_Run3,18008.11,60.03,18,81,83355.05685234917,15409.306942517025,2407,0,19007,4919,5377,0,0,300,81,4.93
Gen_Data_300_0.7_8_Run3,18006.85,60.02,8,66,68512.93105358466,15394.289076829296,2363,3,19016,5317,5923,0,0,300,66,5.536
Gen_Data_300_0.7_9_Run3,18007.36,60.02,15,66,68541.68894698567,15513.473125045237,2457,0,19228,4526,4993,0,0,300,66,5.546
Gen_Data_300_0.7_10_Run3,18007.36,60.02,13,78,80345.35017831728,15520.532867312031,2677,0,19417,5106,5540,0,0,300,78,6.04
