BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,30016.453333333335,60.03,21.0,53.666666666666664,58297.00946847111,23112.997841322616,4973.333333333333,0.6666666666666666,30417.333333333332,9311.0,9796.333333333334,0.0,0.0,500.0,53.666666666666664,3.648333333333333
Gen_Data_500_0.7_2,30015.423333333336,60.03,16.666666666666668,66.66666666666667,71231.41605044687,23964.756682222967,4539.333333333333,0.3333333333333333,30767.666666666668,9718.666666666666,10451.0,0.0,0.0,500.0,66.66666666666667,5.300999999999999
Gen_Data_500_0.7_3,30015.496666666662,60.03,15.333333333333334,55.0,59636.99860142794,23333.637451413404,5254.333333333333,1.6666666666666667,30911.333333333332,9180.0,9760.666666666666,0.0,0.0,500.0,55.0,3.625
Gen_Data_500_0.7_4,30015.693333333333,60.03,14.0,49.0,53644.574127074244,23405.49529332918,5008.0,0.0,30767.0,9431.666666666666,9834.333333333334,0.0,0.0,500.0,49.0,3.317
Gen_Data_500_0.7_5,30015.236666666668,60.03,21.333333333333332,42.666666666666664,47342.03178457029,23418.531087067717,5023.0,0.0,30824.0,9383.0,9784.0,0.0,0.0,500.0,42.666666666666664,2.8996666666666666
Gen_Data_500_0.7_6,30015.26,60.03,21.0,51.666666666666664,56359.95070229023,22655.040008023174,5537.666666666667,3.0,30523.666666666668,9318.666666666666,9858.666666666666,0.0,0.0,500.0,51.666666666666664,4.352
Gen_Data_500_0.7_7,30015.850000000002,60.03,20.0,58.666666666666664,63272.47736099903,23481.777489367345,5106.333333333333,0.6666666666666666,30891.333333333332,9505.666666666666,10177.666666666666,0.0,0.0,500.0,58.666666666666664,4.405333333333334
Gen_Data_500_0.7_8,30015.99,60.03,26.0,61.333333333333336,65877.50177100307,23390.411273483933,4901.0,1.0,30570.333333333332,9630.333333333334,10152.0,0.0,0.0,500.0,61.333333333333336,3.6093333333333333
Gen_Data_500_0.7_9,30015.266666666663,60.03,22.333333333333332,66.0,70564.4247139328,23269.42130459586,5332.333333333333,5.333333333333333,30864.666666666668,9223.666666666666,9920.333333333334,0.0,0.0,500.0,66.0,4.451666666666667
Gen_Data_500_0.7_10,30015.149999999998,60.03,26.0,48.333333333333336,53095.58295506291,23549.36442485443,4961.0,2.0,30865.666666666668,9808.333333333334,10548.0,0.0,0.0,500.0,48.333333333333336,5.034666666666667
