BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,1202.3666666666668,0.0,0.0,3.0,8454.89216626098,23727.587392519596,881.3333333333334,131.66666666666666,27142.666666666668,10760.0,12668.333333333334,0.0,3.0,500.0,0.0,11.445333333333332
Gen_Data_500_0.7_2,1201.7,0.0,0.0,5.666666666666667,11110.110672759556,24323.964158765564,989.3333333333334,109.0,27814.0,11300.0,13316.333333333334,0.0,5.666666666666667,500.0,0.0,13.034999999999998
Gen_Data_500_0.7_3,1201.6233333333332,0.0,0.0,2.3333333333333335,7738.587268040584,23334.04180245764,1145.0,48.333333333333336,27003.0,10401.0,11984.333333333334,0.0,2.3333333333333335,500.0,0.0,10.705
Gen_Data_500_0.7_4,1201.66,0.0,0.0,2.6666666666666665,8059.160312189814,24171.4366803126,1152.6666666666667,123.66666666666667,27857.0,10665.0,12382.333333333334,0.0,2.6666666666666665,500.0,0.0,10.092333333333334
Gen_Data_500_0.7_5,1202.4466666666667,0.0,0.0,0.0,5430.362309253467,23859.52540697624,1073.6666666666667,97.33333333333333,27471.0,10404.0,12134.666666666666,0.0,0.0,500.0,0.0,10.678333333333335
Gen_Data_500_0.7_6,1202.0033333333333,0.0,0.0,0.6666666666666666,6123.925766229404,23951.23600871555,1024.6666666666667,87.0,27507.666666666668,10670.0,12625.0,0.0,0.6666666666666666,500.0,0.0,12.365
Gen_Data_500_0.7_7,1202.3166666666666,0.0,0.0,2.3333333333333335,7805.571956708321,23695.857459808805,979.6666666666666,95.0,27188.0,10954.0,12921.666666666666,0.0,2.3333333333333335,500.0,0.0,11.144
Gen_Data_500_0.7_8,1201.6566666666668,0.0,0.0,3.0,8570.898143560871,23979.11861005644,881.6666666666666,121.0,27374.666666666668,11284.0,13607.666666666666,0.0,3.0,500.0,0.0,13.915
Gen_Data_500_0.7_9,1202.0,0.0,0.0,6.0,11534.892158543893,23854.14142120047,1092.3333333333333,96.0,27453.333333333332,10814.0,13007.333333333334,0.0,6.0,500.0,0.0,12.377333333333334
Gen_Data_500_0.7_10,1201.5833333333333,0.0,0.0,2.3333333333333335,7884.36981308688,23863.253607760842,1041.3333333333333,94.66666666666667,27434.666666666668,10803.0,13020.0,0.0,2.3333333333333335,500.0,0.0,13.822666666666668
