BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_500_0.7_1,30015.646666666667,60.03,19.333333333333332,73.66666666666667,78130.06559085874,24647.235153921527,3819.3333333333335,0.6666666666666666,30742.333333333332,8956.666666666666,9571.666666666666,0.0,0.0,500.0,73.66666666666667,4.563666666666666
Gen_Data_500_0.7_2,30016.02666666667,60.03,25.0,83.66666666666667,88073.47033191139,25673.94084903096,3148.3333333333335,1.6666666666666667,31030.0,9324.0,10121.333333333334,0.0,0.0,500.0,83.66666666666667,6.514
Gen_Data_500_0.7_3,30015.906666666666,60.03333333333333,19.333333333333332,70.0,74502.18064269244,25075.924018641865,3724.6666666666665,2.6666666666666665,31105.666666666668,8885.333333333334,9411.333333333334,0.0,0.0,500.0,70.0,3.5250000000000004
Gen_Data_500_0.7_4,30016.309999999998,60.03,21.333333333333332,71.33333333333333,75747.60871925115,24744.815238362276,3897.3333333333335,0.6666666666666666,30933.666666666668,8798.0,9214.333333333334,0.0,0.0,500.0,71.33333333333333,3.112
Gen_Data_500_0.7_5,30016.38666666667,60.03333333333333,25.333333333333332,60.666666666666664,65263.572928328045,24913.892270235112,3823.0,1.0,31085.666666666668,8918.0,9522.0,0.0,0.0,500.0,60.666666666666664,5.143
Gen_Data_500_0.7_6,30015.286666666667,60.03,28.0,65.66666666666667,70231.66422016946,24654.93216616167,3756.3333333333335,5.666666666666667,30723.0,9000.666666666666,9637.0,0.0,0.0,500.0,65.66666666666667,4.78
Gen_Data_500_0.7_7,30015.88333333333,60.03,30.333333333333332,75.66666666666667,80131.62906129814,25494.2539824566,3367.0,0.3333333333333333,31133.0,8920.666666666666,9571.0,0.0,0.0,500.0,75.66666666666667,4.326
Gen_Data_500_0.7_8,30016.266666666666,60.03333333333333,29.666666666666668,70.66666666666667,75185.87819700557,25510.954537235626,3162.3333333333335,0.0,30950.666666666668,9364.0,10002.666666666666,0.0,0.0,500.0,70.66666666666667,4.567
Gen_Data_500_0.7_9,30016.313333333335,60.03333333333333,19.0,86.66666666666667,91021.96562644938,25144.26801283835,3790.3333333333335,1.0,31146.333333333332,8738.333333333334,9412.666666666666,0.0,0.0,500.0,86.66666666666667,4.342666666666666
Gen_Data_500_0.7_10,30016.27,60.03,30.333333333333332,68.33333333333333,72899.90576155209,25235.717530377482,3508.0,5.0,31065.0,9330.0,10141.333333333334,0.0,0.0,500.0,68.33333333333333,5.878333333333333
