ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_100_0.7_1_Run3,370.36,9.26,9,5,5967.196037324783,4992.071402668447,672,0,6155,2037,2113,60,0,40,5,2.315
Gen_Data_100_0.7_2_Run3,363.63,9.09,12,1,2046.8286630036632,5032.035508951042,643,3,6188,1997,2254,60,0,40,1,7.124
Gen_Data_100_0.7_3_Run3,347.54,8.69,10,3,3989.6717044225156,5076.268376564788,714,0,6286,2109,2216,60,0,40,3,3.075
Gen_Data_100_0.7_4_Run3,435.99,10.9,12,6,7037.31700385395,5016.091707934513,344,9,5842,1932,2314,60,0,40,6,9.891
Gen_Data_100_0.7_5_Run3,336.76,8.42,12,2,3040.6814905837823,5100.525094021245,494,0,6097,2161,2476,60,0,40,2,9.048
Gen_Data_100_0.7_6_Run3,368.43,9.21,15,3,4044.2201971001386,5068.1619550440755,570,13,6133,2200,2516,60,0,40,3,11.577
Gen_Data_100_0.7_7_Run3,326.3,8.16,13,5,6031.935052076696,4704.578389690176,645,13,5834,2042,2420,60,0,40,5,11.938
Gen_Data_100_0.7_8_Run3,370.58,9.26,13,2,3000.0433734222433,4673.292482049389,664,10,5839,1886,1977,60,0,40,2,3.803
Gen_Data_100_0.7_9_Run3,389.94,9.75,12,4,5021.134463368855,5067.104362288902,687,0,6252,2239,2519,60,0,40,4,7.297
Gen_Data_100_0.7_10_Run3,301.48,7.54,6,0,1045.4041515038912,4988.141408188964,586,0,6091,1887,2078,60,0,40,0,5.344
