ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_20_0.7_1_Run1,6.95,0.87,0,0,200.0,1410.2926332295976,254,0,1767,538,538,12,0,8,0,0.0,0.0
Gen_Data_20_0.7_2_Run1,43.74,5.47,0,2,2180.0,1051.5281414529877,490,0,1633,358,358,12,0,8,2,0.0,0.0
Gen_Data_20_0.7_3_Run1,4.76,0.6,0,2,2180.0,1193.6168599395899,36,0,1319,290,290,12,2,8,0,0.0,0.0
Gen_Data_20_0.7_4_Run1,43.14,5.39,0,2,2187.0175438596493,1229.2671904516628,234,8,1558,415,455,12,0,8,2,2.857,2.0
Gen_Data_20_0.7_5_Run1,24.64,3.08,0,1,1190.0,1264.815155106769,324,0,1687,428,428,12,0,8,1,0.0,0.0
Gen_Data_20_0.7_6_Run1,4.11,0.51,0,1,1190.0,1354.6047544770372,211,0,1664,405,405,12,1,8,0,0.0,0.0
Gen_Data_20_0.7_7_Run1,25.04,3.13,1,1,1190.0,1080.3463182417004,597,0,1778,214,214,12,0,8,1,0.0,0.0
Gen_Data_20_0.7_8_Run1,8.13,1.02,0,0,200.0,1276.9150168867598,251,0,1631,369,369,12,0,8,0,0.0,0.0
Gen_Data_20_0.7_9_Run1,24.56,3.07,0,1,1203.125,1158.4284128403485,389,0,1645,354,417,12,0,8,1,3.571,3.15
Gen_Data_20_0.7_10_Run1,5.26,0.66,0,0,211.7669172932331,1311.2340885094825,214,0,1989,362,381,12,0,8,0,2.857,0.95
