ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_0.7_1_Run3,16.69,0.0,0,0,199.99999999999818,1600.886102638139,98,0,1802,538,538,12,0,8,0,0.0
Gen_Data_20_0.7_2_Run3,1200.44,0.0,0,1,1189.9999999999964,1171.184419211579,94,0,1361,402,402,12,1,8,0,0.0
Gen_Data_20_0.7_3_Run3,1200.46,0.0,0,2,2180.0,1001.2891806894784,45,0,1139,290,290,12,2,8,0,0.0
Gen_Data_20_0.7_4_Run3,1200.82,0.0,0,1,1190.0,1273.8141015797185,324,0,1697,414,414,12,1,8,0,0.0
Gen_Data_20_0.7_5_Run3,19.8,0.0,0,0,199.99999999999454,1347.293793250183,36,0,1486,442,442,12,0,8,0,0.0
Gen_Data_20_0.7_6_Run3,1200.64,0.0,0,1,1190.0,1371.733400961989,76,0,1547,444,444,12,1,8,0,0.0
Gen_Data_20_0.7_7_Run3,17.78,0.0,0,0,200.0,1055.4305562487898,200,0,1360,255,255,12,0,8,0,0.0
Gen_Data_20_0.7_8_Run3,16.59,0.0,0,0,200.0,1294.1815253006912,85,0,1482,369,369,12,0,8,0,0.0
Gen_Data_20_0.7_9_Run3,1200.44,0.0,0,1,1190.0000000000018,1408.4040480407798,82,0,1589,356,356,12,1,8,0,0.0
Gen_Data_20_0.7_10_Run3,20.85,0.0,0,0,223.01691729323284,1251.5497039772943,36,0,1390,362,435,12,0,8,0,6.429
