ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_20_0.7_1_Run4,6.4,0.8,2,0,205.22321428571428,1782.7405081334484,318,0,2208,538,568,12,0,8,0,3.571
Gen_Data_20_0.7_2_Run4,44.32,5.54,0,2,2180.0,1481.6424652189644,651,0,2234,358,358,12,0,8,2,0.0
Gen_Data_20_0.7_3_Run4,5.3,0.66,0,2,2180.0,1291.073660950495,487,0,1878,290,290,12,2,8,0,0.0
Gen_Data_20_0.7_4_Run4,43.74,5.47,0,2,2187.0175438596493,1543.1343384829872,659,8,2306,415,455,12,0,8,2,2.857
Gen_Data_20_0.7_5_Run4,25.35,3.17,0,1,1190.0,1562.4203337288875,318,0,1985,428,428,12,0,8,1,0.0
Gen_Data_20_0.7_6_Run4,4.55,0.57,0,1,1190.0,1665.3254940093066,439,0,2212,405,405,12,1,8,0,0.0
Gen_Data_20_0.7_7_Run4,46.15,5.77,0,2,2180.0,1512.520787838334,376,0,1989,208,208,12,0,8,2,0.0
Gen_Data_20_0.7_8_Run4,7.41,0.93,0,0,200.0,1542.9154460396915,401,0,2051,369,369,12,0,8,0,0.0
Gen_Data_20_0.7_9_Run4,26.37,3.3,0,1,1203.125,1353.7477750587543,489,0,1948,354,417,12,0,8,1,3.571
Gen_Data_20_0.7_10_Run4,4.96,0.62,0,0,211.7669172932331,1542.5815403729864,248,0,1900,362,381,12,0,8,0,2.857
