BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_20_0.7_1,6.034000000000001,0.752,0.0,0.0,200.0,1410.2926332295976,254.0,0.0,1767.0,538.0,538.0,12.0,0.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_2,43.980000000000004,5.498,0.0,2.0,2180.0,1051.5281414529877,490.0,0.0,1633.0,358.0,358.0,12.0,0.0,8.0,2.0,0.0,0.0
Gen_Data_20_0.7_3,4.798,0.602,0.0,2.0,2180.0,1193.6168599395899,36.0,0.0,1319.0,290.0,290.0,12.0,2.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_4,43.153999999999996,5.394,0.0,2.0,2187.0175438596493,1229.2671904516628,240.0,8.0,1564.0,415.0,455.0,12.0,0.0,8.0,2.0,2.857,2.0
Gen_Data_20_0.7_5,24.776,3.096,0.0,1.0,1190.0,1255.8019422644425,309.8,0.0,1663.6,428.0,428.0,12.0,0.0,8.0,1.0,0.0,0.0
Gen_Data_20_0.7_6,4.132000000000001,0.516,0.0,1.0,1190.0,1354.6047544770372,211.0,0.0,1664.0,405.0,405.0,12.0,1.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_7,24.692,3.088,1.0,1.0,1190.0,1082.0381452889942,600.2,0.0,1782.8,214.0,214.0,12.0,0.0,8.0,1.0,0.0,0.0
Gen_Data_20_0.7_8,6.353999999999999,0.794,0.0,0.0,200.0,1276.9150168867598,251.0,0.0,1631.0,369.0,369.0,12.0,0.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_9,25.459999999999997,3.182,0.0,1.0,1203.125,1149.3551406353233,417.8,0.0,1664.8,354.0,417.0,12.0,0.0,8.0,1.0,3.571,3.15
Gen_Data_20_0.7_10,5.9479999999999995,0.744,0.0,0.0,211.76691729323312,1311.2340885094825,214.0,0.0,1989.0,362.0,381.0,12.0,0.0,8.0,0.0,2.857,0.95
