BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_20_0.7_1,17.336,0.0,0.0,0.0,199.99999999999818,1600.886102638139,98.0,0.0,1802.0,538.0,538.0,12.0,0.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_2,1200.462,0.0,0.0,1.0,1189.9999999999964,1171.184419211579,94.0,0.0,1361.0,402.0,402.0,12.0,1.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_3,1200.608,0.0,0.0,2.0,2180.0,1001.2891806894784,45.0,0.0,1139.0,290.0,290.0,12.0,2.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_4,1200.54,0.0,0.0,1.0,1190.0,1273.8141015797185,324.0,0.0,1697.0,414.0,414.0,12.0,1.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_5,20.252,0.0,0.0,0.0,199.99999999999454,1347.293793250183,36.0,0.0,1486.0,442.0,442.0,12.0,0.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_6,1200.614,0.0,0.0,1.0,1190.0,1371.733400961989,76.0,0.0,1547.0,444.0,444.0,12.0,1.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_7,18.562,0.0,0.0,0.0,200.0,1055.4305562487898,200.0,0.0,1360.0,255.0,255.0,12.0,0.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_8,16.548000000000002,0.0,0.0,0.0,200.0,1294.1815253006912,85.0,0.0,1482.0,369.0,369.0,12.0,0.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_9,1200.5420000000001,0.0,0.0,1.0,1190.0000000000018,1408.4040480407798,82.0,0.0,1589.0,356.0,356.0,12.0,1.0,8.0,0.0,0.0,0.0
Gen_Data_20_0.7_10,19.601999999999997,0.0,0.0,0.0,223.01691729323284,1251.5497039772943,36.0,0.0,1390.0,362.0,435.0,12.0,0.0,8.0,0.0,6.429,3.65
