ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,2375.52,19.8,12,0,3051.6144825136107,14934.744021442752,2170,15,18614,5826,6039,180,0,120,0,3.034
Gen_Data_300_0.7_2_Run1,2382.48,19.85,12,0,3067.5480824410943,15676.410416465787,1747,5,18940,6920,7233,180,0,120,0,3.857
Gen_Data_300_0.7_3_Run1,2394.15,19.95,16,1,4118.923984924649,15448.438285747914,1701,22,18671,6775,7350,180,0,120,1,7.123
Gen_Data_300_0.7_4_Run1,2363.46,19.7,10,0,3031.6482296129184,15094.328963331203,2254,20,18875,6297,6439,180,0,120,0,1.949
Gen_Data_300_0.7_5_Run1,2407.69,20.06,19,2,5082.692549811499,15691.84891305531,1143,18,18334,6481,6976,180,0,120,2,4.777
Gen_Data_300_0.7_6_Run1,2394.72,19.96,11,2,5017.947365418826,15529.020363539354,1096,13,18131,6185,6363,180,0,120,2,2.938
Gen_Data_300_0.7_7_Run1,2406.69,20.06,20,2,5093.990871318731,15788.707772285064,1326,13,18629,6973,7571,180,0,120,2,6.555
Gen_Data_300_0.7_8_Run1,2403.77,20.03,14,0,3099.8191394416103,15143.012200332072,1122,68,17800,7495,7971,180,0,120,0,6.146
Gen_Data_300_0.7_9_Run1,2400.98,20.01,14,0,3058.0480614647804,15457.734497553703,1431,6,18426,6723,7008,180,0,120,0,3.528
Gen_Data_300_0.7_10_Run1,2390.44,19.92,18,6,9029.680502685736,15163.886963390256,1858,0,18517,6409,6878,180,0,120,6,4.48
