ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_300_0.7_1_Run1,2380.34,19.84,13,1,4054.1958433912946,15828.061312659396,1578,2,18943,5780,6071,180,0,120,1,2.404,0.97
Gen_Data_300_0.7_2_Run1,2389.23,19.91,15,1,4043.486192717188,16035.57461356206,1875,22,19439,6863,7094,180,0,120,1,3.578,0.77
Gen_Data_300_0.7_3_Run1,2392.67,19.94,15,1,4123.248126917746,16038.717538268858,1689,32,19273,6775,7433,180,0,120,1,7.06,2.1933333333333334
Gen_Data_300_0.7_4_Run1,2372.53,19.77,12,0,3060.3994666678072,16280.205624530863,1438,2,19271,6297,6535,180,0,120,0,2.341,0.7933333333333333
Gen_Data_300_0.7_5_Run1,2408.92,20.07,12,2,5065.322590206022,16192.319669588987,1709,4,19430,6429,6856,180,0,120,2,3.757,1.4233333333333333
Gen_Data_300_0.7_6_Run1,2399.58,20.0,12,1,4018.6458981544506,16076.160757456884,1631,41,19231,6204,6361,180,0,120,1,2.172,0.5233333333333333
Gen_Data_300_0.7_7_Run1,2409.21,20.08,18,10,13007.684704031106,16656.433346285332,953,0,19112,6636,7149,180,0,120,10,5.749,1.71
Gen_Data_300_0.7_8_Run1,2409.18,20.08,14,1,4053.1114243148854,16509.935834683052,1401,2,19460,7473,7765,180,0,120,1,5.025,0.9733333333333334
Gen_Data_300_0.7_9_Run1,2408.8,20.07,17,0,3043.641715314679,16064.549676591685,1830,15,19443,6723,6979,180,0,120,0,3.563,0.8533333333333334
Gen_Data_300_0.7_10_Run1,2392.17,19.93,20,6,9052.43257706429,16003.773416264046,1709,1,19229,6416,6872,180,0,120,6,5.043,1.52
