ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_300_0.7_1_Run3,1200.77,0.0,0,0,2999.9999999999854,15394.514520519479,197,0,17103,5826,5826,180,0,120,0,0.0,0.0
Gen_Data_300_0.7_2_Run3,1201.29,0.0,0,0,3007.7792761973797,16183.509912022817,154,0,17850,6920,6963,180,0,120,0,0.999,0.14333333333333334
Gen_Data_300_0.7_3_Run3,1200.68,0.0,0,0,3013.296099532701,15676.145148110478,246,7,17449,6806,6875,180,0,120,0,1.431,0.23
Gen_Data_300_0.7_4_Run3,1200.76,0.0,0,0,3007.9372805135827,15370.879495068755,249,0,17145,6297,6333,180,0,120,0,1.066,0.12
Gen_Data_300_0.7_5_Run3,1201.13,0.0,0,0,3002.2409417641684,15371.839182212647,247,0,17128,6503,6512,180,0,120,0,0.714,0.03
Gen_Data_300_0.7_6_Run3,1201.1,0.0,0,1,3989.9999999989523,15702.665390253585,282,0,17503,6204,6204,180,1,120,0,0.0,0.0
Gen_Data_300_0.7_7_Run3,1200.76,0.0,0,0,3022.037074704849,15968.22493789976,183,6,17680,7008,7123,180,0,120,0,2.053,0.38333333333333336
Gen_Data_300_0.7_8_Run3,1200.89,0.0,0,0,3035.867826041358,15647.14914662911,271,0,17454,7495,7678,180,0,120,0,3.05,0.61
Gen_Data_300_0.7_9_Run3,1201.38,0.0,0,0,2999.9999999991414,15689.461647555987,357,0,17577,6723,6723,180,0,120,0,0.0,0.0
Gen_Data_300_0.7_10_Run3,1200.73,0.0,0,0,3035.663163043777,15619.367991757541,249,0,17404,6553,6699,180,0,120,0,2.719,0.4866666666666667
