BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,2377.666,19.816,13.6,1.4,4431.118742918302,15141.47794610993,1921.8,9.6,18572.8,5783.6,5976.8,180.0,0.0,120.0,1.4,2.6864
Gen_Data_300_0.7_2,2382.4,19.852,12.8,0.4,3452.673288988597,15776.941009674712,1626.6,3.8,18917.6,6918.2,7188.6,180.0,0.0,120.0,0.4,3.6217999999999995
Gen_Data_300_0.7_3,2393.7799999999997,19.948,15.0,1.2,4334.5229180247725,15301.410164468834,1720.8,37.0,18541.8,6766.2,7451.4,180.0,0.0,120.0,1.2,7.464799999999999
Gen_Data_300_0.7_4,2366.4019999999996,19.722,11.6,0.0,3030.5823330161634,15391.144767657195,2013.2,7.0,18929.2,6297.0,6440.8,180.0,0.0,120.0,0.0,1.8436
Gen_Data_300_0.7_5,2405.536,20.046,19.6,2.0,5053.015062686864,15689.208874843895,1317.6,19.6,18511.0,6479.0,6845.4,180.0,0.0,120.0,2.0,3.6390000000000002
Gen_Data_300_0.7_6,2398.058,19.984,10.2,1.4,4414.521296617945,15420.446759325238,1224.8,4.4,18156.4,6189.8,6334.8,180.0,0.0,120.0,1.4,2.4364
Gen_Data_300_0.7_7,2404.536,20.038,17.6,2.2,5268.928134029275,15814.875625439076,1113.6,16.2,18442.2,6954.0,7440.0,180.0,0.0,120.0,2.2,5.1076
Gen_Data_300_0.7_8,2404.636,20.038,14.4,0.0,3078.9899973357624,15557.50924362897,1052.8,23.8,18138.6,7495.0,7871.2,180.0,0.0,120.0,0.0,5.2844
Gen_Data_300_0.7_9,2401.4660000000003,20.012,13.4,0.0,3044.395434296678,15365.534091104239,1390.2,10.0,18291.2,6723.0,6958.0,180.0,0.0,120.0,0.0,3.3192
Gen_Data_300_0.7_10,2393.99,19.948,19.2,4.0,7060.422388830053,15296.757859815083,1790.8,15.4,18600.8,6449.2,6953.6,180.0,0.0,120.0,4.0,4.962
