BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_300_0.7_1,2376.75,19.803999999999995,17.8,1.4,4430.745900008816,15287.975692386206,2203.6,7.8,19021.4,5793.0,5991.6,180.0,0.0,120.0,1.4,2.4522,0.662
Gen_Data_300_0.7_2,2378.084,19.816000000000003,12.0,0.4,3450.248238733106,15831.562276100472,1960.2,14.4,19331.8,6910.8,7165.8,180.0,0.0,120.0,0.4,4.4124,0.85
Gen_Data_300_0.7_3,2395.132,19.958000000000002,12.2,2.0,5122.040172894253,15733.742104973897,2002.2,32.8,19273.6,6736.0,7394.2,180.0,0.0,120.0,2.0,6.658199999999999,2.194
Gen_Data_300_0.7_4,2369.9700000000003,19.75,9.4,0.2,3226.967507325508,15459.497061976019,2281.4,5.4,19284.4,6292.6,6416.0,180.0,0.0,120.0,0.2,1.5963999999999998,0.41133333333333333
Gen_Data_300_0.7_5,2405.7300000000005,20.048000000000002,17.2,3.2,6227.704092131951,15865.70993150355,2046.4,8.8,19431.6,6428.2,6721.0,180.0,0.0,120.0,3.2,3.3549999999999995,0.976
Gen_Data_300_0.7_6,2397.542,19.98,10.0,1.0,4017.2428893174774,15576.559235501767,2220.2,6.2,19325.2,6204.0,6342.6,180.0,0.0,120.0,1.0,2.1583999999999994,0.462
Gen_Data_300_0.7_7,2406.7160000000003,20.055999999999997,15.6,4.6,7653.853861205274,16073.614933548291,1635.6,7.8,19236.0,6911.2,7428.4,180.0,0.0,120.0,4.6,5.4948,1.7239999999999998
Gen_Data_300_0.7_8,2405.792,20.048000000000002,12.4,1.8,4871.269315133208,15797.871035149234,2015.4,20.0,19348.0,7426.6,7848.0,180.0,0.0,120.0,1.8,5.3932,1.4046666666666665
Gen_Data_300_0.7_9,2401.116,20.009999999999998,11.8,0.4,3441.9464724079808,15667.415404988895,2113.4,12.8,19325.6,6710.6,6944.2,180.0,0.0,120.0,0.4,3.6201999999999996,0.7786666666666667
Gen_Data_300_0.7_10,2392.2799999999997,19.934000000000005,16.8,5.0,8046.9711782988325,15530.622694983185,2167.2,23.4,19220.4,6444.8,6928.4,180.0,0.0,120.0,5.0,4.9756,1.612
