ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_500_0.7_1_Run5,4023.65,20.12,19,3,8047.220043600686,25787.254690355378,2295,33,30636,10582,10960,300,0,200,3,2.044,0.756
Gen_Data_500_0.7_2_Run5,4032.87,20.16,9,13,18021.56383560302,26371.273852540016,2691,14,31572,11011,11618,300,0,200,13,4.065,1.214
Gen_Data_500_0.7_3_Run5,4029.89,20.15,15,10,14990.351861920484,26318.4567833644,2873,24,31721,10751,11144,300,0,200,10,2.533,0.786
Gen_Data_500_0.7_4_Run5,4024.17,20.12,23,4,9103.344062085247,25804.384477738175,3249,57,31603,10713,11438,300,0,200,4,4.423,1.45
Gen_Data_500_0.7_5_Run5,4031.69,20.16,11,2,7053.363785292243,25565.17678088759,2651,12,30761,10557,10938,300,0,200,2,2.378,0.762
Gen_Data_500_0.7_6_Run5,4034.79,20.17,10,12,16954.852298322327,26079.683787937465,2986,31,31579,10023,10384,300,1,200,11,2.796,0.722
Gen_Data_500_0.7_7_Run5,4006.72,20.03,18,3,8048.098629754656,25754.025144566403,3622,17,31919,10652,10969,300,0,200,3,2.831,0.634
Gen_Data_500_0.7_8_Run5,4021.46,20.11,10,5,10001.096365237738,25866.747083506623,3382,5,31800,10637,10915,300,0,200,5,2.32,0.556
Gen_Data_500_0.7_9_Run5,4016.66,20.08,20,4,9065.214296972332,25871.531736535977,3209,6,31624,10383,10822,300,0,200,4,2.946,0.878
Gen_Data_500_0.7_10_Run5,4030.57,20.15,8,2,7074.544819372354,26079.85560866836,2786,3,31436,11265,11662,300,0,200,2,3.628,0.794
