BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_500_0.7_1,4018.5160000000005,20.09,18.6,2.2,7287.951697604183,26317.482446855887,2020.0,39.2,30891.8,10596.4,11116.6,300.0,0.0,200.0,2.2,3.3674,1.0404
Gen_Data_500_0.7_2,4024.5380000000005,20.124000000000002,13.8,10.0,14991.992114906365,26495.872025800123,2246.2,32.2,31270.2,11061.8,11495.4,300.0,0.0,200.0,10.0,3.1314,0.8672000000000001
Gen_Data_500_0.7_3,4023.5379999999996,20.118000000000002,17.4,11.0,15978.933167779378,26563.645380203623,2538.8,28.4,31611.0,10698.8,11114.0,300.0,0.0,200.0,11.0,3.0598,0.8304
Gen_Data_500_0.7_4,4025.53,20.126,18.0,5.6,10684.767323770357,26499.044947137805,2511.2,44.4,31555.0,10712.0,11386.2,300.0,0.0,200.0,5.6,4.190600000000001,1.3484
Gen_Data_500_0.7_5,4026.2759999999994,20.133999999999997,13.6,2.0,7044.8547046501435,25989.13052015588,2403.0,10.4,30936.4,10564.0,10855.8,300.0,0.0,200.0,2.0,2.376,0.5836
Gen_Data_500_0.7_6,4013.436,20.065999999999995,13.0,14.0,18969.509339723205,26528.191449039092,2651.8,19.0,31678.6,9956.0,10444.8,300.0,1.0,200.0,13.0,3.3174,0.9776000000000001
Gen_Data_500_0.7_7,4002.058,20.009999999999998,17.8,1.2,6254.315362540138,26487.256978619793,2653.0,21.0,31707.0,10691.4,10987.0,300.0,0.0,200.0,1.2,2.2156,0.5912
Gen_Data_500_0.7_8,4013.7339999999995,20.068,13.6,3.6,8633.719701662912,26677.601625221567,2465.4,14.0,31697.2,10663.8,11014.6,300.0,0.0,200.0,3.6,2.7652,0.7016000000000001
Gen_Data_500_0.7_9,4011.45,20.058,15.4,7.6,12615.942951756471,26564.275477094186,2779.6,13.8,31875.8,10267.6,10678.2,300.0,0.0,200.0,7.6,2.6353999999999997,0.8211999999999999
Gen_Data_500_0.7_10,4028.486,20.139999999999997,10.2,4.0,9051.209476476859,26688.62900720079,2413.0,24.8,31660.6,11215.4,11608.2,300.0,0.0,200.0,4.0,3.2548000000000004,0.7856
