ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_100_0.7_1_Run1,1200.58,0.0,0,12,13052.094441213743,4799.064723565361,389,28,5631,2035,2718,0,12,100,0,15.319,6.83
Gen_Data_100_0.7_2_Run1,1200.97,0.0,0,4,5114.2651597369795,4889.930693953999,374,35,5753,2174,2820,0,4,100,0,12.149,6.46
Gen_Data_100_0.7_3_Run1,1200.56,0.0,0,7,8033.580670506899,5001.132740480037,353,34,5825,1909,2319,0,7,100,0,10.94,4.1
Gen_Data_100_0.7_4_Run1,1200.53,0.0,0,5,6203.273204898031,5008.20339606791,350,56,5838,2224,3258,0,5,100,0,20.737,10.34
Gen_Data_100_0.7_5_Run1,1200.59,0.0,0,5,5997.87256878233,4664.962028388676,438,13,5592,1865,2101,0,5,100,0,9.449,2.36
Gen_Data_100_0.7_6_Run1,1200.53,0.0,0,5,6115.64148717764,4789.170148459664,298,61,5568,2195,2871,0,5,100,0,14.654,6.76
Gen_Data_100_0.7_7_Run1,1200.63,0.0,0,5,6055.335625600474,4794.815869464327,324,10,5603,1800,2132,0,5,100,0,10.311,3.32
Gen_Data_100_0.7_8_Run1,1200.96,0.0,0,3,4029.445544723362,5001.459684287787,199,38,5697,2021,2319,0,3,100,0,8.521,2.98
Gen_Data_100_0.7_9_Run1,1200.53,0.0,0,6,7031.516969237757,5082.529788783851,272,7,5834,1994,2354,0,6,100,0,10.846,3.6
Gen_Data_100_0.7_10_Run1,1200.62,0.0,0,8,9080.349200802093,4842.490719974715,329,21,5642,1777,2262,0,8,100,0,9.305,4.85
