BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_100_0.7_1,817.548,8.176,3.0,38.0,38686.49809516961,4536.263673930617,1412.0,0.0,6279.0,1478.0,1667.0,0.0,0.0,100.0,38.0,7.017999999999999,1.89
Gen_Data_100_0.7_2,731.9559999999999,7.318,1.0,33.4,34083.2,4636.581033569447,1393.0,0.0,6394.0,1361.4,1404.4,0.0,0.0,100.0,33.4,1.053,0.43
Gen_Data_100_0.7_3,782.32,7.824000000000001,0.0,36.0,36671.333333333336,4504.211387426651,1533.0,0.0,6377.0,1477.0,1524.0,0.0,0.0,100.0,36.0,0.752,0.4699999999999999
Gen_Data_100_0.7_4,736.2700000000001,7.361999999999999,0.0,33.6,34294.30740025572,4276.5392186546305,1730.2,12.0,6365.4,1475.6,1594.0,0.0,0.0,100.0,33.6,5.2508,1.184
Gen_Data_100_0.7_5,744.288,7.442,0.0,34.0,34698.15838509317,4549.746185634287,1501.0,0.0,6407.0,1259.0,1349.0,0.0,0.0,100.0,34.0,2.857,0.9
Gen_Data_100_0.7_6,754.374,7.546000000000001,0.0,34.6,35283.82025499294,4889.638189075621,1299.0,0.0,6541.0,1552.4,1705.8,0.0,0.0,100.0,34.6,5.1578,1.534
Gen_Data_100_0.7_7,635.952,6.358,1.0,28.0,28769.92344720497,4713.0143878559,1055.0,0.0,6153.0,1283.8,1390.8,0.0,0.0,100.0,28.0,4.269,1.07
Gen_Data_100_0.7_8,673.2879999999999,6.734,1.0,30.2,30911.86689686357,4626.211487459942,1354.4,0.0,6350.4,1539.2,1615.2,0.0,0.0,100.0,30.2,3.3484000000000003,0.7600000000000001
Gen_Data_100_0.7_9,818.236,8.186,1.0,38.0,38637.142857142855,4670.888022977894,1299.0,0.0,6307.0,1302.0,1326.0,0.0,0.0,100.0,38.0,1.053,0.24
Gen_Data_100_0.7_10,706.3520000000001,7.066,0.0,32.0,32694.28391356543,4446.4054203595815,1392.0,0.0,6204.0,1303.0,1361.0,0.0,0.0,100.0,32.0,2.105,0.58
