BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_20_0.7_1,263.808,13.190000000000001,0.0,13.0,13070.0,1008.214099251082,478.0,0.0,1529.0,126.0,126.0,0.0,0.0,20.0,13.0,0.0,0.0
Gen_Data_20_0.7_2,263.874,13.193999999999999,0.0,13.0,13070.0,1018.5712794747176,494.0,0.0,1558.0,113.0,113.0,0.0,0.0,20.0,13.0,0.0,0.0
Gen_Data_20_0.7_3,224.43800000000002,11.222,0.0,11.0,11090.0,1020.6901815026151,485.0,0.0,1561.0,183.0,183.0,0.0,0.0,20.0,11.0,0.0,0.0
Gen_Data_20_0.7_4,248.882,12.446,0.0,12.0,12080.0,963.9463785705937,652.0,0.0,1667.0,90.0,90.0,0.0,0.0,20.0,12.0,0.0,0.0
Gen_Data_20_0.7_5,283.75800000000004,14.187999999999999,0.0,14.0,14060.0,995.6096617508626,553.0,0.0,1591.0,175.0,175.0,0.0,0.0,20.0,14.0,0.0,0.0
Gen_Data_20_0.7_6,224.894,11.244,0.0,11.0,11090.0,1050.2744847477109,504.0,0.0,1606.0,228.0,228.0,0.0,0.0,20.0,11.0,0.0,0.0
Gen_Data_20_0.7_7,263.71,13.186000000000002,0.0,13.0,13070.0,915.8636926092101,430.0,0.0,1391.0,68.0,68.0,0.0,0.0,20.0,13.0,0.0,0.0
Gen_Data_20_0.7_8,230.01399999999998,11.501999999999999,0.0,11.0,11090.0,1027.4154786878219,453.0,0.0,1535.0,166.0,166.0,0.0,0.0,20.0,11.0,0.0,0.0
Gen_Data_20_0.7_9,208.68,10.431999999999999,0.0,10.0,10100.0,1080.6354703345232,581.0,0.0,1721.0,147.0,147.0,0.0,0.0,20.0,10.0,0.0,0.0
Gen_Data_20_0.7_10,269.05,13.452000000000002,0.0,13.0,13070.0,948.1526529167031,375.0,0.0,1368.0,157.0,157.0,0.0,0.0,20.0,13.0,0.0,0.0
