ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,1200.89,0.0,0,4,7275.6567759452555,14341.651731688637,589,32,16448,6280,7417,0,4,300,0,12.235
Gen_Data_300_0.7_2_Run1,1201.31,0.0,0,5,8323.795608127104,14929.76939831994,452,21,16869,6519,8205,0,5,300,0,14.571
Gen_Data_300_0.7_3_Run1,1200.78,0.0,0,0,3212.661461503967,15038.650862042476,474,16,17032,6607,7595,0,0,300,0,10.247
Gen_Data_300_0.7_4_Run1,1200.72,0.0,0,3,6301.599331958029,14611.978994281508,797,59,16926,6296,7733,0,3,300,0,12.474
Gen_Data_300_0.7_5_Run1,1200.85,0.0,0,4,7232.488256771179,14689.86912903343,645,53,16845,6502,7677,0,4,300,0,12.179
Gen_Data_300_0.7_6_Run1,1200.91,0.0,0,1,4308.155620628615,15062.652463557923,523,115,17101,6765,8089,0,1,300,0,12.042
Gen_Data_300_0.7_7_Run1,1200.81,0.0,0,1,4351.896487872735,14981.179386503418,604,77,17105,6735,8242,0,1,300,0,12.504
Gen_Data_300_0.7_8_Run1,1200.81,0.0,0,1,4240.423240756256,14875.277165834606,635,85,17039,6751,7871,0,1,300,0,12.546
Gen_Data_300_0.7_9_Run1,1200.76,0.0,0,0,3257.4852867674235,14432.97417155383,723,42,16677,5831,6826,0,0,300,0,10.651
Gen_Data_300_0.7_10_Run1,1200.91,0.0,0,0,3276.0902263420976,15055.76754662098,606,36,17181,6981,8266,0,0,300,0,12.877
