ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_300_0.7_1_Run1,2074.61,6.92,14,67,69449.0410945297,15211.590484255208,2527,0,19008,5193,5541,0,0,300,67,5.651
Gen_Data_300_0.7_2_Run1,2095.46,6.98,14,69,71464.96575642654,15422.799963956852,2493,0,19158,4771,5313,0,0,300,69,6.135
Gen_Data_300_0.7_3_Run1,2088.82,6.96,12,65,67561.01907507429,15714.69911894604,2557,1,19547,5262,5790,0,0,300,65,5.86
Gen_Data_300_0.7_4_Run1,2029.33,6.76,10,65,67487.23641984905,15358.226453779125,2504,0,19147,5059,5526,0,0,300,65,4.484
Gen_Data_300_0.7_5_Run1,2247.66,7.49,8,80,82287.66582573288,15580.113124193264,2368,0,19152,4843,5095,0,0,300,80,4.426
Gen_Data_300_0.7_6_Run1,1968.11,6.56,10,60,62525.367434523854,15761.775451861351,2061,0,19119,5387,5820,0,0,300,60,5.36
Gen_Data_300_0.7_7_Run1,2337.06,7.79,11,82,84342.80545726382,15487.024137486369,2366,0,19037,4990,5361,0,0,300,82,4.003
Gen_Data_300_0.7_8_Run1,2111.2,7.04,6,70,72443.83063489545,15339.898454138389,2351,0,18936,5062,5589,0,0,300,70,6.076
Gen_Data_300_0.7_9_Run1,1976.92,6.59,12,63,65478.491482258694,15397.843062057938,2564,0,19237,4628,4943,0,0,300,63,4.756
Gen_Data_300_0.7_10_Run1,2035.57,6.79,21,63,65500.10072932145,15704.301491138105,2390,2,19385,5496,5947,0,0,300,63,5.245
