ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_300_0.7_1_Run2,2036.49,6.79,13,62,64535.3328603829,15266.3318231749,2490,6,19059,4996,5599,0,0,300,62,7.161,2.01
Gen_Data_300_0.7_2_Run2,2284.42,7.61,11,79,81399.67815473636,15303.826062845335,2768,3,19283,4675,5267,0,0,300,79,6.178,1.9733333333333334
Gen_Data_300_0.7_3_Run2,2148.35,7.16,16,67,69508.80518311654,15966.625110879115,2361,0,19600,5176,5651,0,0,300,67,5.45,1.5833333333333333
Gen_Data_300_0.7_4_Run2,2196.71,7.32,6,77,79402.12978285186,15374.220810679079,2515,0,19120,4837,5407,0,0,300,77,5.609,1.9
Gen_Data_300_0.7_5_Run2,2048.43,6.83,13,66,68452.15348508854,15654.463114647493,2386,0,19307,4979,5296,0,0,300,66,4.362,1.0566666666666666
Gen_Data_300_0.7_6_Run2,2081.58,6.94,15,70,72391.0649430303,15720.734167707997,2134,2,19096,4996,5286,0,0,300,70,3.07,0.9666666666666667
Gen_Data_300_0.7_7_Run2,2249.32,7.5,11,80,82331.66594107826,15505.73487259278,2181,0,18883,4760,5110,0,0,300,80,4.184,1.1666666666666667
Gen_Data_300_0.7_8_Run2,2098.13,6.99,13,65,67529.23279020439,15518.239512701894,2243,1,19025,5280,5996,0,0,300,65,6.848,2.3866666666666667
Gen_Data_300_0.7_9_Run2,1874.51,6.25,14,59,61495.729000594976,15351.055327457765,2412,0,19052,4720,5003,0,0,300,59,3.707,0.9433333333333334
Gen_Data_300_0.7_10_Run2,2138.62,7.13,18,66,68536.98641982402,15568.709377776964,2475,0,19306,5297,5911,0,0,300,66,7.154,2.046666666666667
