ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_300_0.7_1_Run5,1540.23,5.13,15,43,45707.74182762577,14176.820404890314,3489,0,19043,5584,6073,0,0,300,43,4.479,1.63
Gen_Data_300_0.7_2_Run5,1791.75,5.97,11,60,62437.57865646259,14206.873547323581,3419,0,18901,5090,5218,0,0,300,60,2.058,0.4266666666666667
Gen_Data_300_0.7_3_Run5,1412.14,4.71,11,36,38743.254981657075,14574.585005172086,3369,0,19350,5878,6211,0,0,300,36,3.323,1.11
Gen_Data_300_0.7_4_Run5,1531.07,5.1,8,45,47677.48539315409,14199.690695745441,3517,0,19081,5400,5771,0,0,300,45,3.812,1.2366666666666666
Gen_Data_300_0.7_5_Run5,1868.04,6.23,14,51,53605.43665634387,14150.963029994467,3581,0,19056,5376,5649,0,0,300,51,3.1,0.91
Gen_Data_300_0.7_6_Run5,1601.48,5.34,3,47,49645.85438874606,14657.825195285357,3061,0,19071,5837,6237,0,0,300,47,3.814,1.3333333333333333
Gen_Data_300_0.7_7_Run5,1721.02,5.74,11,54,56539.335021797684,14622.567351638985,2947,0,18907,5453,5718,0,0,300,54,3.534,0.8833333333333333
Gen_Data_300_0.7_8_Run5,1831.01,6.1,11,50,52639.94602754902,14313.262180420968,3045,8,18706,5727,6231,0,0,300,50,5.166,1.68
Gen_Data_300_0.7_9_Run5,1730.12,5.77,9,42,44659.18452797334,13786.76716345531,3833,0,19004,5049,5312,0,0,300,42,4.082,0.8766666666666667
Gen_Data_300_0.7_10_Run5,1492.11,4.97,13,41,43740.04310316439,14633.43555619654,3232,2,19253,5869,6236,0,0,300,41,4.508,1.2233333333333334
