BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean
Gen_Data_300_0.7_1,1607.3259999999998,5.358,15.4,40.8,43546.18268764805,14257.065764338604,3424.6,0.2,19065.6,5603.4,6109.8,0.0,0.0,300.0,40.8,5.1415999999999995
Gen_Data_300_0.7_2,1767.018,5.89,10.4,51.8,54367.716891597294,14230.427056351062,3359.0,0.0,18905.0,5380.6,5657.2,0.0,0.0,300.0,51.8,3.2336
Gen_Data_300_0.7_3,1497.7620000000002,4.994000000000001,7.2,35.2,37950.47914722674,14448.001639850447,3442.8,0.0,19302.8,5843.4,6165.4,0.0,0.0,300.0,35.2,3.3125999999999998
Gen_Data_300_0.7_4,1610.9959999999999,5.37,11.2,44.0,46705.953869537465,14426.066493092647,3293.4,0.0,19093.8,5470.4,5853.0,0.0,0.0,300.0,44.0,3.845
Gen_Data_300_0.7_5,1736.4559999999997,5.788,9.8,47.6,50239.03210861444,14090.25947280497,3574.4,3.0,19008.0,5419.4,5747.6,0.0,0.0,300.0,47.6,3.3176
Gen_Data_300_0.7_6,1664.05,5.548,6.8,45.0,47656.903676298825,14648.42690477607,3086.2,0.0,19096.0,5885.2,6238.6,0.0,0.0,300.0,45.0,4.0098
Gen_Data_300_0.7_7,1694.426,5.648000000000001,11.6,48.6,51189.810739558,14603.686302548671,2981.4,0.0,18941.2,5621.0,5866.4,0.0,0.0,300.0,48.6,3.3369999999999997
Gen_Data_300_0.7_8,1756.27,5.854000000000001,8.0,50.6,53235.063963300796,14232.878249608946,3132.2,8.0,18710.2,5669.0,6158.4,0.0,0.0,300.0,50.6,4.9350000000000005
Gen_Data_300_0.7_9,1582.8780000000002,5.2780000000000005,10.0,39.8,42506.82149401559,13925.158968835944,3770.4,0.0,19089.4,5106.4,5428.2,0.0,0.0,300.0,39.8,4.4826
Gen_Data_300_0.7_10,1666.736,5.555999999999999,9.4,44.8,47461.577424817115,14550.378731318648,3401.4,0.8,19323.8,5820.6,6128.0,0.0,0.0,300.0,44.8,4.209999999999999
