ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run1,3266.98,6.53,17,53,57589.539300663884,23172.64600915389,4731,0,30231,9451,9858,0,0,500,53,3.426
Gen_Data_500_0.7_2_Run1,3384.1,6.77,19,66,70521.58213219295,24208.53230128712,4202,2,30666,9763,10291,0,0,500,66,4.461
Gen_Data_500_0.7_3_Run1,3184.46,6.37,17,54,58622.81172908952,22425.46185113901,6141,0,30885,9124,9574,0,0,500,54,3.598
Gen_Data_500_0.7_4_Run1,3164.08,6.33,16,52,56615.24219900829,23713.71911245656,4820,0,30870,9266,9722,0,0,500,52,3.142
Gen_Data_500_0.7_5_Run1,3225.12,6.45,17,38,42719.955644157766,23748.13188078678,4795,0,30952,9527,9887,0,0,500,38,2.723
Gen_Data_500_0.7_6_Run1,3461.03,6.92,20,57,61628.800693957666,23042.34543147101,5201,0,30553,9284,9942,0,0,500,57,4.411
Gen_Data_500_0.7_7_Run1,3372.23,6.74,21,66,70533.87218759116,23232.35161401639,5404,0,30904,9277,9895,0,0,500,66,4.114
Gen_Data_500_0.7_8_Run1,3367.72,6.74,15,69,73449.51978493981,23214.262015295117,5165,0,30623,9507,9950,0,0,500,69,2.948
Gen_Data_500_0.7_9_Run1,3436.47,6.87,22,68,72546.71769701604,23507.32344455417,5182,0,30943,9152,9921,0,0,500,68,4.648
Gen_Data_500_0.7_10_Run1,3410.54,6.82,26,50,54718.374878501025,23658.78739277519,4986,6,30986,9754,10504,0,0,500,50,4.688
