ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_500_0.7_1_Run3,3351.81,6.7,23,58,62520.127492822365,23209.80862861567,4741,0,30264,9175,9543,0,0,500,58,2.818,0.736
Gen_Data_500_0.7_2_Run3,3326.36,6.65,17,68,72549.31781753957,24254.629614835976,4292,0,30791,9647,10425,0,0,500,68,5.303,1.556
Gen_Data_500_0.7_3_Run3,2997.66,6.0,23,41,45864.861248406385,23271.393353590465,5364,0,31029,9352,10316,0,0,500,41,5.718,1.928
Gen_Data_500_0.7_4_Run3,3302.42,6.6,17,53,57557.828651521995,23271.020951246865,5304,0,30903,9448,9761,0,0,500,53,2.949,0.626
Gen_Data_500_0.7_5_Run3,3080.77,6.16,19,42,46654.508687151625,23202.86520984023,5079,0,30662,9527,9846,0,0,500,42,2.003,0.638
Gen_Data_500_0.7_6_Run3,3267.33,6.53,21,55,59612.302451577896,22842.45136525835,5337,0,30488,9327,9777,0,0,500,55,3.317,0.9
Gen_Data_500_0.7_7_Run3,3324.24,6.65,23,64,68546.1622405897,23787.80845587909,5017,0,31079,9458,10051,0,0,500,64,3.466,1.186
Gen_Data_500_0.7_8_Run3,3358.3,6.72,16,62,66512.4675947715,23717.472352397715,4607,0,30612,9729,10273,0,0,500,62,3.149,1.088
Gen_Data_500_0.7_9_Run3,3576.02,7.15,14,78,82352.61584060272,22704.04486954784,5637,0,30536,8789,9218,0,0,500,78,2.869,0.858
Gen_Data_500_0.7_10_Run3,3412.05,6.82,26,57,61579.61084561931,23255.160908394962,5282,0,30845,9654,10142,0,0,500,57,3.345,0.976
