ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
Gen_Data_500_0.7_1_Run5,3205.36,6.41,18,50,54655.992519195956,23053.754636365084,5210,4,30641,9504,10093,0,0,500,50,4.384
Gen_Data_500_0.7_2_Run5,3395.19,6.79,16,60,64606.47838014637,23780.491889865036,4986,0,31083,9865,10515,0,0,500,60,4.365
Gen_Data_500_0.7_3_Run5,3243.65,6.49,12,50,54610.440324650925,23218.269316833677,5409,0,30994,9170,9568,0,0,500,50,2.892
Gen_Data_500_0.7_4_Run5,3216.92,6.43,15,49,53606.993427836474,23635.41522178433,4902,3,30931,9553,9861,0,0,500,49,2.155
Gen_Data_500_0.7_5_Run5,3172.84,6.35,16,35,39746.22290152098,23075.483325002107,5349,0,30863,9498,9821,0,0,500,35,2.648
Gen_Data_500_0.7_6_Run5,3436.27,6.87,10,59,63514.85001629976,23084.831018533085,5216,9,30630,9174,9538,0,0,500,59,3.053
Gen_Data_500_0.7_7_Run5,3290.79,6.58,21,50,54626.42795590809,23650.78827840903,4982,0,31012,9688,10087,0,0,500,50,2.988
Gen_Data_500_0.7_8_Run5,3382.78,6.77,18,60,64556.09742396293,23710.172766605792,4786,0,30818,9889,10360,0,0,500,60,3.483
Gen_Data_500_0.7_9_Run5,3373.25,6.75,16,64,68453.44899505039,22802.638696125923,5597,0,30718,9377,9770,0,0,500,64,2.833
Gen_Data_500_0.7_10_Run5,3373.01,6.75,23,43,47775.94379882029,23065.558074444572,5516,4,31016,9802,10420,0,0,500,43,5.51
