BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_500_0.7_1,1201.998,0.0,0.0,3.0,8519.355174858702,23960.09132818425,880.8,116.4,27368.2,10619.0,12847.8,0.0,3.0,500.0,0.0,11.802600000000002,4.457599999999999
Gen_Data_500_0.7_2,1202.396,0.0,0.0,3.6,9104.064091249029,24486.699826909353,971.2,106.0,27966.2,11167.2,13473.2,0.0,3.6,500.0,0.0,13.3816,4.612
Gen_Data_500_0.7_3,1201.6680000000001,0.0,0.0,1.6,7095.332732352865,23531.25593508533,1178.2,86.6,27242.0,10363.0,12368.0,0.0,1.6,500.0,0.0,11.8496,4.01
Gen_Data_500_0.7_4,1202.098,0.0,0.0,2.2,7512.602473671733,24002.901668913782,1046.0,69.2,27577.8,10556.0,12045.2,0.0,2.2,500.0,0.0,8.8784,2.9783999999999997
Gen_Data_500_0.7_5,1202.208,0.0,0.0,0.0,5333.515469009127,23570.206325335268,1177.8,62.2,27281.0,10404.0,11766.8,0.0,0.0,500.0,0.0,9.267999999999999,2.7256
Gen_Data_500_0.7_6,1201.696,0.0,0.0,0.0,5454.579562193832,23994.392530991125,924.8,63.8,27457.2,10670.0,12623.4,0.0,0.0,500.0,0.0,11.6942,3.9067999999999996
Gen_Data_500_0.7_7,1202.2140000000002,0.0,0.0,0.2,5693.800859903618,23719.04570499062,883.8,101.6,27128.4,10952.0,12961.2,0.0,0.2,500.0,0.0,11.0132,4.018400000000001
Gen_Data_500_0.7_8,1202.028,0.0,0.0,3.4,8934.432078432852,23976.700289014705,801.4,152.0,27289.2,11145.0,13632.2,0.0,3.4,500.0,0.0,13.0928,4.9744
Gen_Data_500_0.7_9,1202.17,0.0,0.0,3.6,9117.160486594836,24014.598258109876,985.0,84.6,27513.2,10672.8,12990.2,0.0,3.6,500.0,0.0,12.6388,4.6348
Gen_Data_500_0.7_10,1201.52,0.0,0.0,1.8,7258.073884839559,23586.892162058393,1016.6,97.8,27137.8,10779.4,12836.0,0.0,1.8,500.0,0.0,11.9896,4.113200000000001
